"p, q, n, Phi, e, k, d",Totient,Binary Totient,# Hot Bits,Transparency Percentage
"[103, 223, 22969, 22644, 3, 1, 30192]",22644,0b101100001110100,7,0.03
"[103, 223, 22969, 22644, 5, 1, 4529]",22644,0b101100001110100,7,0.03
"[103, 223, 22969, 22644, 17, 1, 23976]",22644,0b101100001110100,7,0.03
"[103, 223, 22969, 22644, 257, 156, 13745]",22644,0b101100001110100,7,0.03
"[103, 223, 22969, 22644, 65537, 49228, 17009]",22644,0b101100001110100,7,0.03
"[103, 233, 23999, 23664, 3, 1, 31552]",23664,0b101110001110000,7,0.03
"[103, 389, 40067, 39576, 5, 4, 31661]",39576,0b1001101010011000,7,0.03
"[103, 389, 40067, 39576, 17, 1, 41904]",39576,0b1001101010011000,7,0.03
"[103, 389, 40067, 39576, 257, 129, 19865]",39576,0b1001101010011000,7,0.03
"[103, 389, 40067, 39576, 65537, 8573, 5177]",39576,0b1001101010011000,7,0.03
"[107, 167, 17869, 17596, 3, 2, 11731]",17596,0b100010010111100,7,0.03
"[107, 167, 17869, 17596, 5, 4, 14077]",17596,0b100010010111100,7,0.03
"[107, 167, 17869, 17596, 17, 16, 16561]",17596,0b100010010111100,7,0.03
"[107, 167, 17869, 17596, 257, 242, 16569]",17596,0b100010010111100,7,0.03
"[107, 167, 17869, 17596, 65537, 9911, 2661]",17596,0b100010010111100,7,0.03
"[107, 173, 18511, 18232, 3, 2, 12155]",18232,0b100011100111000,7,0.03
"[107, 179, 19153, 18868, 3, 2, 12579]",18868,0b100100110110100,7,0.03
"[107, 179, 19153, 18868, 5, 3, 11321]",18868,0b100100110110100,7,0.03
"[107, 179, 19153, 18868, 17, 9, 9989]",18868,0b100100110110100,7,0.03
"[107, 179, 19153, 18868, 257, 12, 881]",18868,0b100100110110100,7,0.03
"[107, 179, 19153, 18868, 65537, 25443, 7325]",18868,0b100100110110100,7,0.03
"[107, 409, 43763, 43248, 5, 3, 25949]",43248,0b1010100011110000,7,0.03
"[107, 433, 46331, 45792, 5, 2, 18317]",45792,0b1011001011100000,7,0.03
"[109, 331, 36079, 35640, 5, 1, 42768]",35640,0b1000101100111000,7,0.03
"[109, 331, 36079, 35640, 17, 2, 4193]",35640,0b1000101100111000,7,0.03
"[109, 331, 36079, 35640, 257, 96, 13313]",35640,0b1000101100111000,7,0.03
"[109, 331, 36079, 35640, 65537, 30218, 16433]",35640,0b1000101100111000,7,0.03
"[109, 367, 40003, 39528, 5, 3, 23717]",39528,0b1001101001101000,7,0.03
"[109, 367, 40003, 39528, 17, 11, 25577]",39528,0b1001101001101000,7,0.03
"[109, 367, 40003, 39528, 257, 36, 5537]",39528,0b1001101001101000,7,0.03
"[109, 367, 40003, 39528, 65537, 33692, 20321]",39528,0b1001101001101000,7,0.03
"[109, 439, 47851, 47304, 5, 1, 9461]",47304,0b1011100011001000,7,0.03
"[109, 439, 47851, 47304, 17, 5, 13913]",47304,0b1011100011001000,7,0.03
"[109, 439, 47851, 47304, 257, 16, 2945]",47304,0b1011100011001000,7,0.03
"[109, 439, 47851, 47304, 65537, 49700, 35873]",47304,0b1011100011001000,7,0.03
"[113, 179, 20227, 19936, 3, 2, 13291]",19936,0b100110111100000,7,0.03
"[113, 347, 39211, 38752, 5, 2, 15501]",38752,0b1001011101100000,7,0.03
"[127, 151, 19177, 18900, 3, 1, 25200]",18900,0b100100111010100,7,0.03
"[127, 151, 19177, 18900, 5, 1, 22680]",18900,0b100100111010100,7,0.03
"[127, 151, 19177, 18900, 17, 13, 14453]",18900,0b100100111010100,7,0.03
"[127, 151, 19177, 18900, 257, 159, 11693]",18900,0b100100111010100,7,0.03
"[127, 151, 19177, 18900, 65537, 58855, 16973]",18900,0b100100111010100,7,0.03
"[127, 167, 21209, 20916, 3, 1, 27888]",20916,0b101000110110100,7,0.03
"[127, 167, 21209, 20916, 5, 4, 16733]",20916,0b101000110110100,7,0.03
"[127, 167, 21209, 20916, 17, 14, 17225]",20916,0b101000110110100,7,0.03
"[127, 167, 21209, 20916, 257, 122, 9929]",20916,0b101000110110100,7,0.03
"[127, 167, 21209, 20916, 65537, 43707, 13949]",20916,0b101000110110100,7,0.03
"[127, 317, 40259, 39816, 5, 4, 31853]",39816,0b1001101110001000,7,0.03
"[127, 317, 40259, 39816, 17, 8, 18737]",39816,0b1001101110001000,7,0.03
"[127, 317, 40259, 39816, 257, 230, 35633]",39816,0b1001101110001000,7,0.03
"[127, 317, 40259, 39816, 65537, 60706, 36881]",39816,0b1001101110001000,7,0.03
"[127, 349, 44323, 43848, 5, 3, 26309]",43848,0b1010101101001000,7,0.03
"[127, 349, 44323, 43848, 17, 10, 25793]",43848,0b1010101101001000,7,0.03
"[127, 349, 44323, 43848, 257, 135, 23033]",43848,0b1010101101001000,7,0.03
"[127, 349, 44323, 43848, 65537, 15199, 10169]",43848,0b1010101101001000,7,0.03
"[131, 179, 23449, 23140, 3, 2, 15427]",23140,0b101101001100100,7,0.03
"[131, 179, 23449, 23140, 5, 1, 27768]",23140,0b101101001100100,7,0.03
"[131, 179, 23449, 23140, 17, 11, 14973]",23140,0b101101001100100,7,0.03
"[131, 179, 23449, 23140, 257, 77, 6933]",23140,0b101101001100100,7,0.03
"[131, 179, 23449, 23140, 65537, 13688, 4833]",23140,0b101101001100100,7,0.03
"[131, 349, 45719, 45240, 5, 1, 54288]",45240,0b1011000010111000,7,0.03
"[131, 349, 45719, 45240, 17, 11, 29273]",45240,0b1011000010111000,7,0.03
"[131, 349, 45719, 45240, 257, 32, 5633]",45240,0b1011000010111000,7,0.03
"[131, 349, 45719, 45240, 65537, 28847, 19913]",45240,0b1011000010111000,7,0.03
"[137, 173, 23701, 23392, 3, 2, 15595]",23392,0b101101101100000,7,0.03
"[137, 283, 38771, 38352, 5, 2, 15341]",38352,0b1001010111010000,7,0.03
"[137, 461, 63157, 62560, 5, 1, 75072]",62560,0b1111010001100000,7,0.03
"[137, 509, 69733, 69088, 5, 3, 41453]",69088,0b10000110111100000,7,0.03
"[139, 151, 20989, 20700, 3, 1, 27600]",20700,0b101000011011100,7,0.03
"[139, 151, 20989, 20700, 5, 1, 24840]",20700,0b101000011011100,7,0.03
"[139, 151, 20989, 20700, 17, 3, 3653]",20700,0b101000011011100,7,0.03
"[139, 151, 20989, 20700, 257, 134, 10793]",20700,0b101000011011100,7,0.03
"[139, 151, 20989, 20700, 65537, 39490, 12473]",20700,0b101000011011100,7,0.03
"[139, 317, 44063, 43608, 5, 3, 26165]",43608,0b1010101001011000,7,0.03
"[139, 317, 44063, 43608, 17, 11, 28217]",43608,0b1010101001011000,7,0.03
"[139, 317, 44063, 43608, 257, 210, 35633]",43608,0b1010101001011000,7,0.03
"[139, 317, 44063, 43608, 65537, 21234, 14129]",43608,0b1010101001011000,7,0.03
"[149, 307, 45743, 45288, 5, 3, 27173]",45288,0b1011000011101000,7,0.03
"[149, 307, 45743, 45288, 17, 1, 47952]",45288,0b1011000011101000,7,0.03
"[149, 307, 45743, 45288, 257, 78, 13745]",45288,0b1011000011101000,7,0.03
"[149, 307, 45743, 45288, 65537, 24614, 17009]",45288,0b1011000011101000,7,0.03
"[149, 461, 68689, 68080, 5, 1, 81696]",68080,0b10000100111110000,7,0.03
"[149, 461, 68689, 68080, 17, 7, 28033]",68080,0b10000100111110000,7,0.03
"[149, 461, 68689, 68080, 257, 72, 19073]",68080,0b10000100111110000,7,0.03
"[149, 461, 68689, 68080, 65537, 14664, 15233]",68080,0b10000100111110000,7,0.03
"[149, 509, 75841, 75184, 5, 1, 15037]",75184,0b10010010110110000,7,0.03
"[149, 509, 75841, 75184, 17, 5, 22113]",75184,0b10010010110110000,7,0.03
"[149, 509, 75841, 75184, 257, 134, 39201]",75184,0b10010010110110000,7,0.03
"[149, 509, 75841, 75184, 65537, 33920, 38913]",75184,0b10010010110110000,7,0.03
"[151, 277, 41827, 41400, 5, 1, 49680]",41400,0b1010000110111000,7,0.03
"[151, 277, 41827, 41400, 17, 10, 24353]",41400,0b1010000110111000,7,0.03
"[151, 277, 41827, 41400, 257, 67, 10793]",41400,0b1010000110111000,7,0.03
"[151, 277, 41827, 41400, 65537, 19745, 12473]",41400,0b1010000110111000,7,0.03
"[151, 293, 44243, 43800, 5, 1, 52560]",43800,0b1010101100011000,7,0.03
"[151, 293, 44243, 43800, 17, 2, 5153]",43800,0b1010101100011000,7,0.03
"[151, 293, 44243, 43800, 257, 7, 1193]",43800,0b1010101100011000,7,0.03
"[151, 293, 44243, 43800, 65537, 53676, 35873]",43800,0b1010101100011000,7,0.03
"[151, 317, 47867, 47400, 5, 1, 56880]",47400,0b1011100100101000,7,0.03
"[151, 317, 47867, 47400, 17, 4, 11153]",47400,0b1011100100101000,7,0.03
"[151, 317, 47867, 47400, 257, 39, 7193]",47400,0b1011100100101000,7,0.03
"[151, 317, 47867, 47400, 65537, 56236, 40673]",47400,0b1011100100101000,7,0.03
"[157, 227, 35639, 35256, 5, 4, 28205]",35256,0b1000100110111000,7,0.03
"[157, 227, 35639, 35256, 17, 9, 18665]",35256,0b1000100110111000,7,0.03
"[157, 227, 35639, 35256, 257, 82, 11249]",35256,0b1000100110111000,7,0.03
"[157, 227, 35639, 35256, 65537, 60215, 32393]",35256,0b1000100110111000,7,0.03
"[157, 409, 64213, 63648, 5, 3, 38189]",63648,0b1111100010100000,7,0.03
"[157, 457, 71749, 71136, 5, 4, 56909]",71136,0b10001010111100000,7,0.03
"[157, 509, 79913, 79248, 5, 3, 47549]",79248,0b10011010110010000,7,0.03
"[157, 509, 79913, 79248, 17, 3, 13985]",79248,0b10011010110010000,7,0.03
"[157, 509, 79913, 79248, 257, 81, 24977]",79248,0b10011010110010000,7,0.03
"[157, 509, 79913, 79248, 65537, 45624, 55169]",79248,0b10011010110010000,7,0.03
"[163, 269, 43847, 43416, 5, 4, 34733]",43416,0b1010100110011000,7,0.03
"[163, 269, 43847, 43416, 17, 9, 22985]",43416,0b1010100110011000,7,0.03
"[163, 269, 43847, 43416, 257, 121, 20441]",43416,0b1010100110011000,7,0.03
"[163, 269, 43847, 43416, 65537, 19915, 13193]",43416,0b1010100110011000,7,0.03
"[163, 293, 47759, 47304, 5, 1, 9461]",47304,0b1011100011001000,7,0.03
"[163, 293, 47759, 47304, 17, 5, 13913]",47304,0b1011100011001000,7,0.03
"[163, 293, 47759, 47304, 257, 16, 2945]",47304,0b1011100011001000,7,0.03
"[163, 293, 47759, 47304, 65537, 49700, 35873]",47304,0b1011100011001000,7,0.03
"[167, 233, 38911, 38512, 5, 2, 15405]",38512,0b1001011001110000,7,0.03
"[167, 241, 40247, 39840, 5, 1, 47808]",39840,0b1001101110100000,7,0.03
"[167, 281, 46927, 46480, 5, 1, 55776]",46480,0b1011010110010000,7,0.03
"[179, 229, 40991, 40584, 5, 1, 8117]",40584,0b1001111010001000,7,0.03
"[179, 229, 40991, 40584, 17, 10, 23873]",40584,0b1001111010001000,7,0.03
"[179, 229, 40991, 40584, 257, 222, 35057]",40584,0b1001111010001000,7,0.03
"[179, 229, 40991, 40584, 65537, 30800, 19073]",40584,0b1001111010001000,7,0.03
"[179, 241, 43139, 42720, 5, 1, 51264]",42720,0b1010011011100000,7,0.03
"[179, 457, 81803, 81168, 17, 5, 23873]",81168,0b10011110100010000,7,0.03
"[179, 457, 81803, 81168, 257, 111, 35057]",81168,0b10011110100010000,7,0.03
"[179, 457, 81803, 81168, 65537, 15400, 19073]",81168,0b10011110100010000,7,0.03
"[179, 521, 93259, 92560, 17, 7, 38113]",92560,0b10110100110010000,7,0.03
"[179, 521, 93259, 92560, 257, 212, 76353]",92560,0b10110100110010000,7,0.03
"[179, 521, 93259, 92560, 65537, 3422, 4833]",92560,0b10110100110010000,7,0.03
"[181, 199, 36019, 35640, 5, 1, 42768]",35640,0b1000101100111000,7,0.03
"[181, 199, 36019, 35640, 17, 2, 4193]",35640,0b1000101100111000,7,0.03
"[181, 199, 36019, 35640, 257, 96, 13313]",35640,0b1000101100111000,7,0.03
"[181, 199, 36019, 35640, 65537, 30218, 16433]",35640,0b1000101100111000,7,0.03
"[181, 211, 38191, 37800, 5, 1, 45360]",37800,0b1001001110101000,7,0.03
"[181, 211, 38191, 37800, 17, 15, 33353]",37800,0b1001001110101000,7,0.03
"[181, 211, 38191, 37800, 257, 208, 30593]",37800,0b1001001110101000,7,0.03
"[181, 211, 38191, 37800, 65537, 62196, 35873]",37800,0b1001001110101000,7,0.03
"[181, 263, 47603, 47160, 5, 1, 56592]",47160,0b1011100000111000,7,0.03
"[181, 263, 47603, 47160, 17, 8, 22193]",47160,0b1011100000111000,7,0.03
"[181, 263, 47603, 47160, 257, 255, 46793]",47160,0b1011100000111000,7,0.03
"[181, 263, 47603, 47160, 65537, 34343, 24713]",47160,0b1011100000111000,7,0.03
"[181, 397, 71857, 71280, 5, 1, 85536]",71280,0b10001011001110000,7,0.03
"[181, 397, 71857, 71280, 17, 1, 4193]",71280,0b10001011001110000,7,0.03
"[181, 397, 71857, 71280, 257, 48, 13313]",71280,0b10001011001110000,7,0.03
"[181, 397, 71857, 71280, 65537, 15109, 16433]",71280,0b10001011001110000,7,0.03
"[181, 421, 76201, 75600, 5, 1, 90720]",75600,0b10010011101010000,7,0.03
"[181, 421, 76201, 75600, 17, 16, 71153]",75600,0b10010011101010000,7,0.03
"[181, 421, 76201, 75600, 257, 104, 30593]",75600,0b10010011101010000,7,0.03
"[181, 421, 76201, 75600, 65537, 31098, 35873]",75600,0b10010011101010000,7,0.03
"[181, 461, 83441, 82800, 5, 1, 99360]",82800,0b10100001101110000,7,0.03
"[181, 461, 83441, 82800, 17, 5, 24353]",82800,0b10100001101110000,7,0.03
"[181, 461, 83441, 82800, 257, 162, 52193]",82800,0b10100001101110000,7,0.03
"[181, 461, 83441, 82800, 65537, 42641, 53873]",82800,0b10100001101110000,7,0.03
"[191, 197, 37627, 37240, 5, 1, 44688]",37240,0b1001000101111000,7,0.03
"[191, 197, 37627, 37240, 17, 5, 10953]",37240,0b1001000101111000,7,0.03
"[191, 197, 37627, 37240, 257, 72, 10433]",37240,0b1001000101111000,7,0.03
"[191, 197, 37627, 37240, 65537, 61653, 35033]",37240,0b1001000101111000,7,0.03
"[191, 229, 43739, 43320, 5, 1, 51984]",43320,0b1010100100111000,7,0.03
"[191, 229, 43739, 43320, 17, 4, 10193]",43320,0b1010100100111000,7,0.03
"[191, 229, 43739, 43320, 257, 116, 19553]",43320,0b1010100100111000,7,0.03
"[191, 229, 43739, 43320, 65537, 42652, 28193]",43320,0b1010100100111000,7,0.03
"[191, 457, 87287, 86640, 17, 2, 10193]",86640,0b10101001001110000,7,0.03
"[191, 457, 87287, 86640, 257, 58, 19553]",86640,0b10101001001110000,7,0.03
"[191, 457, 87287, 86640, 65537, 21326, 28193]",86640,0b10101001001110000,7,0.03
"[197, 373, 73481, 72912, 5, 2, 29165]",72912,0b10001110011010000,7,0.03
"[197, 373, 73481, 72912, 17, 1, 4289]",72912,0b10001110011010000,7,0.03
"[197, 373, 73481, 72912, 257, 186, 52769]",72912,0b10001110011010000,7,0.03
"[197, 373, 73481, 72912, 65537, 21976, 24449]",72912,0b10001110011010000,7,0.03
"[199, 241, 47959, 47520, 5, 1, 57024]",47520,0b1011100110100000,7,0.03
"[223, 409, 91207, 90576, 17, 1, 95904]",90576,0b10110000111010000,7,0.03
"[223, 409, 91207, 90576, 257, 39, 13745]",90576,0b10110000111010000,7,0.03
"[223, 409, 91207, 90576, 65537, 12307, 17009]",90576,0b10110000111010000,7,0.03
"[227, 313, 71051, 70512, 17, 13, 53921]",70512,0b10001001101110000,7,0.03
"[227, 313, 71051, 70512, 257, 41, 11249]",70512,0b10001001101110000,7,0.03
"[227, 313, 71051, 70512, 65537, 62876, 67649]",70512,0b10001001101110000,7,0.03
"[229, 313, 71677, 71136, 5, 4, 56909]",71136,0b10001010111100000,7,0.03
"[229, 317, 72593, 72048, 5, 3, 43229]",72048,0b10001100101110000,7,0.03
"[229, 317, 72593, 72048, 17, 8, 33905]",72048,0b10001100101110000,7,0.03
"[229, 317, 72593, 72048, 257, 73, 20465]",72048,0b10001100101110000,7,0.03
"[229, 317, 72593, 72048, 65537, 43896, 48257]",72048,0b10001100101110000,7,0.03
"[229, 373, 85417, 84816, 5, 4, 67853]",84816,0b10100101101010000,7,0.03
"[229, 373, 85417, 84816, 17, 11, 54881]",84816,0b10100101101010000,7,0.03
"[229, 373, 85417, 84816, 257, 214, 70625]",84816,0b10100101101010000,7,0.03
"[229, 373, 85417, 84816, 65537, 37288, 48257]",84816,0b10100101101010000,7,0.03
"[233, 277, 64541, 64032, 5, 2, 25613]",64032,0b1111101000100000,7,0.03
"[233, 311, 72463, 71920, 17, 5, 21153]",71920,0b10001100011110000,7,0.03
"[233, 311, 72463, 71920, 257, 45, 12593]",71920,0b10001100011110000,7,0.03
"[233, 311, 72463, 71920, 65537, 46686, 51233]",71920,0b10001100011110000,7,0.03
"[233, 317, 73861, 73312, 5, 2, 29325]",73312,0b10001111001100000,7,0.03
"[233, 347, 80851, 80272, 17, 9, 42497]",80272,0b10011100110010000,7,0.03
"[233, 347, 80851, 80272, 257, 73, 22801]",80272,0b10011100110010000,7,0.03
"[233, 347, 80851, 80272, 65537, 60391, 73969]",80272,0b10011100110010000,7,0.03
"[233, 353, 82249, 81664, 5, 1, 16333]",81664,0b10011111100000000,7,0.03
"[233, 379, 88307, 87696, 17, 5, 25793]",87696,0b10101011010010000,7,0.03
"[233, 379, 88307, 87696, 257, 196, 66881]",87696,0b10101011010010000,7,0.03
"[233, 379, 88307, 87696, 65537, 40368, 54017]",87696,0b10101011010010000,7,0.03
"[233, 383, 89239, 88624, 17, 11, 57345]",88624,0b10101101000110000,7,0.03
"[233, 383, 89239, 88624, 257, 163, 56209]",88624,0b10101101000110000,7,0.03
"[233, 383, 89239, 88624, 65537, 14554, 19681]",88624,0b10101101000110000,7,0.03
"[263, 281, 73903, 73360, 17, 10, 43153]",73360,0b10001111010010000,7,0.03
"[263, 281, 73903, 73360, 257, 219, 62513]",73360,0b10001111010010000,7,0.03
"[263, 281, 73903, 73360, 65537, 8034, 8993]",73360,0b10001111010010000,7,0.03
"[269, 293, 78817, 78256, 5, 4, 62605]",78256,0b10011000110110000,7,0.03
"[269, 293, 78817, 78256, 17, 10, 46033]",78256,0b10011000110110000,7,0.03
"[269, 293, 78817, 78256, 257, 2, 609]",78256,0b10011000110110000,7,0.03
"[269, 293, 78817, 78256, 65537, 44715, 53393]",78256,0b10011000110110000,7,0.03
"[269, 317, 85273, 84688, 5, 3, 50813]",84688,0b10100101011010000,7,0.03
"[269, 317, 85273, 84688, 17, 3, 14945]",84688,0b10100101011010000,7,0.03
"[269, 317, 85273, 84688, 257, 158, 52065]",84688,0b10100101011010000,7,0.03
"[269, 317, 85273, 84688, 65537, 47126, 60897]",84688,0b10100101011010000,7,0.03
"[271, 281, 76151, 75600, 17, 16, 71153]",75600,0b10010011101010000,7,0.03
"[271, 281, 76151, 75600, 257, 104, 30593]",75600,0b10010011101010000,7,0.03
"[271, 281, 76151, 75600, 65537, 31098, 35873]",75600,0b10010011101010000,7,0.03
"[277, 317, 87809, 87216, 5, 4, 69773]",87216,0b10101010010110000,7,0.03
"[277, 317, 87809, 87216, 17, 14, 71825]",87216,0b10101010010110000,7,0.03
"[277, 317, 87809, 87216, 257, 105, 35633]",87216,0b10101010010110000,7,0.03
"[277, 317, 87809, 87216, 65537, 10617, 14129]",87216,0b10101010010110000,7,0.03
"[281, 283, 79523, 78960, 17, 7, 32513]",78960,0b10011010001110000,7,0.03
"[281, 283, 79523, 78960, 257, 198, 60833]",78960,0b10011010001110000,7,0.03
"[281, 283, 79523, 78960, 65537, 3281, 3953]",78960,0b10011010001110000,7,0.03
"[281, 509, 143029, 142240, 17, 16, 133873]",142240,0b100010101110100000,7,0.03
"[281, 509, 143029, 142240, 257, 203, 112353]",142240,0b100010101110100000,7,0.03
"[281, 509, 143029, 142240, 65537, 36654, 79553]",142240,0b100010101110100000,7,0.03
"[281, 541, 152021, 151200, 17, 8, 71153]",151200,0b100100111010100000,7,0.03
"[281, 541, 152021, 151200, 257, 52, 30593]",151200,0b100100111010100000,7,0.03
"[281, 541, 152021, 151200, 65537, 15549, 35873]",151200,0b100100111010100000,7,0.03
"[313, 397, 124261, 123552, 17, 13, 94481]",123552,0b11110001010100000,7,0.03
"[313, 397, 124261, 123552, 257, 87, 41825]",123552,0b11110001010100000,7,0.03
"[313, 397, 124261, 123552, 65537, 21320, 40193]",123552,0b11110001010100000,7,0.03
"[313, 509, 159317, 158496, 17, 10, 93233]",158496,0b100110101100100000,7,0.03
"[313, 509, 159317, 158496, 257, 169, 104225]",158496,0b100110101100100000,7,0.03
"[313, 509, 159317, 158496, 65537, 22812, 55169]",158496,0b100110101100100000,7,0.03
"[317, 457, 144869, 144096, 17, 4, 33905]",144096,0b100011001011100000,7,0.03
"[317, 457, 144869, 144096, 257, 165, 92513]",144096,0b100011001011100000,7,0.03
"[317, 457, 144869, 144096, 65537, 21948, 48257]",144096,0b100011001011100000,7,0.03
"[331, 433, 143323, 142560, 17, 9, 75473]",142560,0b100010110011100000,7,0.03
"[331, 433, 143323, 142560, 257, 24, 13313]",142560,0b100010110011100000,7,0.03
"[331, 433, 143323, 142560, 65537, 40323, 87713]",142560,0b100010110011100000,7,0.03
"[337, 467, 157379, 156576, 17, 14, 128945]",156576,0b100110001110100000,7,0.03
"[337, 467, 157379, 156576, 257, 155, 94433]",156576,0b100110001110100000,7,0.03
"[337, 467, 157379, 156576, 65537, 61988, 148097]",156576,0b100110001110100000,7,0.03
"[337, 499, 168163, 167328, 17, 6, 59057]",167328,0b101000110110100000,7,0.03
"[337, 499, 168163, 167328, 257, 208, 135425]",167328,0b101000110110100000,7,0.03
"[337, 499, 168163, 167328, 65537, 46424, 118529]",167328,0b101000110110100000,7,0.03
"[337, 503, 169511, 168672, 17, 9, 89297]",168672,0b101001001011100000,7,0.03
"[337, 503, 169511, 168672, 257, 106, 69569]",168672,0b101001001011100000,7,0.03
"[337, 503, 169511, 168672, 65537, 10544, 27137]",168672,0b101001001011100000,7,0.03
"[337, 523, 176251, 175392, 17, 11, 113489]",175392,0b101010110100100000,7,0.03
"[337, 523, 176251, 175392, 257, 98, 66881]",175392,0b101010110100100000,7,0.03
"[337, 523, 176251, 175392, 65537, 20184, 54017]",175392,0b101010110100100000,7,0.03
"[347, 449, 155803, 155008, 17, 8, 72945]",155008,0b100101110110000000,7,0.03
"[353, 431, 152143, 151360, 17, 15, 133553]",151360,0b100100111101000000,7,0.03
"[353, 499, 176147, 175296, 17, 15, 154673]",175296,0b101010110011000000,7,0.03
"[367, 433, 158911, 158112, 17, 7, 65105]",158112,0b100110100110100000,7,0.03
"[367, 433, 158911, 158112, 257, 9, 5537]",158112,0b100110100110100000,7,0.03
"[367, 433, 158911, 158112, 65537, 8423, 20321]",158112,0b100110100110100000,7,0.03
"[379, 401, 151979, 151200, 17, 8, 71153]",151200,0b100100111010100000,7,0.03
"[379, 401, 151979, 151200, 257, 52, 30593]",151200,0b100100111010100000,7,0.03
"[379, 401, 151979, 151200, 65537, 15549, 35873]",151200,0b100100111010100000,7,0.03
"[383, 401, 153583, 152800, 17, 4, 35953]",152800,0b100101010011100000,7,0.03
"[383, 401, 153583, 152800, 257, 38, 22593]",152800,0b100101010011100000,7,0.03
"[383, 401, 153583, 152800, 65537, 50385, 117473]",152800,0b100101010011100000,7,0.03
"[389, 409, 159101, 158304, 17, 1, 167616]",158304,0b100110101001100000,7,0.03
"[389, 409, 159101, 158304, 257, 225, 138593]",158304,0b100110101001100000,7,0.03
"[389, 409, 159101, 158304, 65537, 51296, 123905]",158304,0b100110101001100000,7,0.03
"[401, 439, 176039, 175200, 17, 9, 92753]",175200,0b101010110001100000,7,0.03
"[401, 439, 176039, 175200, 257, 66, 44993]",175200,0b101010110001100000,7,0.03
"[401, 439, 176039, 175200, 65537, 13419, 35873]",175200,0b101010110001100000,7,0.03
"[401, 443, 177643, 176800, 17, 1, 187200]",176800,0b101011001010100000,7,0.03
"[401, 443, 177643, 176800, 257, 241, 165793]",176800,0b101011001010100000,7,0.03
"[401, 443, 177643, 176800, 65537, 50366, 135873]",176800,0b101011001010100000,7,0.03
"[433, 439, 190087, 189216, 17, 14, 155825]",189216,0b101110001100100000,7,0.03
"[433, 439, 190087, 189216, 257, 4, 2945]",189216,0b101110001100100000,7,0.03
"[433, 439, 190087, 189216, 65537, 12425, 35873]",189216,0b101110001100100000,7,0.03
"[53, 487, 25811, 25272, 3, 1, 33696]",25272,0b110001010111000,7,0.02
"[53, 509, 26977, 26416, 3, 2, 17611]",26416,0b110011100110000,7,0.02
"[59, 409, 24131, 23664, 3, 1, 31552]",23664,0b101110001110000,7,0.02
"[59, 431, 25429, 24940, 3, 2, 16627]",24940,0b110000101101100,7,0.02
"[59, 431, 25429, 24940, 5, 1, 29928]",24940,0b110000101101100,7,0.02
"[59, 431, 25429, 24940, 17, 16, 23473]",24940,0b110000101101100,7,0.02
"[59, 431, 25429, 24940, 257, 70, 6793]",24940,0b110000101101100,7,0.02
"[59, 431, 25429, 24940, 65537, 50803, 19333]",24940,0b110000101101100,7,0.02
"[59, 457, 26963, 26448, 3, 1, 35264]",26448,0b110011101010000,7,0.02
"[59, 463, 27317, 26796, 3, 1, 35728]",26796,0b110100010101100,7,0.02
"[59, 463, 27317, 26796, 5, 4, 21437]",26796,0b110100010101100,7,0.02
"[59, 463, 27317, 26796, 17, 4, 6305]",26796,0b110100010101100,7,0.02
"[59, 463, 27317, 26796, 257, 34, 3545]",26796,0b110100010101100,7,0.02
"[59, 463, 27317, 26796, 65537, 30829, 12605]",26796,0b110100010101100,7,0.02
"[59, 467, 27553, 27028, 3, 2, 18019]",27028,0b110100110010100,7,0.02
"[59, 467, 27553, 27028, 5, 3, 16217]",27028,0b110100110010100,7,0.02
"[59, 467, 27553, 27028, 17, 9, 14309]",27028,0b110100110010100,7,0.02
"[59, 467, 27553, 27028, 257, 251, 26397]",27028,0b110100110010100,7,0.02
"[59, 467, 27553, 27028, 65537, 29158, 12025]",27028,0b110100110010100,7,0.02
"[59, 479, 28261, 27724, 3, 2, 18483]",27724,0b110110001001100,7,0.02
"[59, 479, 28261, 27724, 5, 1, 5545]",27724,0b110110001001100,7,0.02
"[59, 479, 28261, 27724, 17, 6, 9785]",27724,0b110110001001100,7,0.02
"[59, 479, 28261, 27724, 257, 249, 26861]",27724,0b110110001001100,7,0.02
"[59, 479, 28261, 27724, 65537, 28426, 12025]",27724,0b110110001001100,7,0.02
"[59, 491, 28969, 28420, 3, 2, 18947]",28420,0b110111100000100,7,0.02
"[59, 491, 28969, 28420, 5, 1, 34104]",28420,0b110111100000100,7,0.02
"[59, 491, 28969, 28420, 17, 13, 21733]",28420,0b110111100000100,7,0.02
"[59, 491, 28969, 28420, 257, 245, 27093]",28420,0b110111100000100,7,0.02
"[59, 491, 28969, 28420, 65537, 8470, 3673]",28420,0b110111100000100,7,0.02
"[59, 499, 29441, 28884, 3, 1, 38512]",28884,0b111000011010100,7,0.02
"[59, 499, 29441, 28884, 5, 1, 5777]",28884,0b111000011010100,7,0.02
"[59, 499, 29441, 28884, 17, 16, 27185]",28884,0b111000011010100,7,0.02
"[59, 499, 29441, 28884, 257, 239, 26861]",28884,0b111000011010100,7,0.02
"[59, 499, 29441, 28884, 65537, 29390, 12953]",28884,0b111000011010100,7,0.02
"[59, 509, 30031, 29464, 3, 2, 19643]",29464,0b111001100011000,7,0.02
"[59, 523, 30857, 30276, 3, 1, 40368]",30276,0b111011001000100,7,0.02
"[59, 523, 30857, 30276, 5, 4, 24221]",30276,0b111011001000100,7,0.02
