"p, q, n, Phi, e, k, d",n,totient,e,# holes,Transparency Percentage,
"[7, 97, 679, 576, 257, 29, 65]",679,576,257,96,14.16,
"[7, 97, 679, 576, 65537, 51087, 449]",679,576,65537,96,14.16,
"[3, 29, 87, 56, 5, 4, 45]",87,56,5,12,13.95,
"[3, 29, 87, 56, 17, 10, 33]",87,56,17,12,13.95,
"[3, 29, 87, 56, 257, 78, 17]",87,56,257,12,13.95,
"[3, 29, 87, 56, 65537, 38620, 33]",87,56,65537,12,13.95,
"[37, 257, 9509, 9216, 257, 50, 1793]",9509,9216,257,1282,13.48,
"[37, 257, 9509, 9216, 65537, 7289, 1025]",9509,9216,65537,1282,13.48,
"[7, 13, 91, 72, 5, 2, 29]",91,72,5,12,13.33,
"[7, 13, 91, 72, 17, 4, 17]",91,72,17,12,13.33,
"[7, 13, 91, 72, 257, 232, 65]",91,72,257,12,13.33,
"[7, 13, 91, 72, 65537, 15474, 17]",91,72,65537,12,13.33,
"[17, 37, 629, 576, 17, 9, 305]",629,576,17,82,13.06,
"[17, 37, 629, 576, 257, 29, 65]",629,576,257,82,13.06,
"[17, 37, 629, 576, 65537, 51087, 449]",629,576,65537,82,13.06,
"[23, 257, 5911, 5632, 257, 222, 4865]",5911,5632,257,768,12.99,
"[23, 257, 5911, 5632, 65537, 41717, 3585]",5911,5632,65537,768,12.99,
"[13, 97, 1261, 1152, 257, 143, 641]",1261,1152,257,162,12.86,
"[13, 97, 1261, 1152, 65537, 58312, 1025]",1261,1152,65537,162,12.86,
"[13, 193, 2509, 2304, 257, 200, 1793]",2509,2304,257,322,12.84,
"[13, 193, 2509, 2304, 65537, 29156, 1025]",2509,2304,65537,322,12.84,
"[5, 19, 95, 72, 5, 2, 29]",95,72,5,12,12.77,
"[5, 19, 95, 72, 17, 4, 17]",95,72,17,12,12.77,
"[5, 19, 95, 72, 257, 232, 65]",95,72,257,12,12.77,
"[5, 19, 95, 72, 65537, 15474, 17]",95,72,65537,12,12.77,
"[17, 23, 391, 352, 17, 7, 145]",391,352,17,48,12.31,
"[17, 23, 391, 352, 257, 211, 289]",391,352,257,48,12.31,
"[17, 23, 391, 352, 65537, 12102, 65]",391,352,65537,48,12.31,
"[73, 257, 18761, 18432, 257, 25, 1793]",18761,18432,257,2310,12.31,
"[73, 257, 18761, 18432, 65537, 36413, 10241]",18761,18432,65537,2310,12.31,
"[17, 73, 1241, 1152, 17, 13, 881]",1241,1152,17,150,12.1,
"[17, 73, 1241, 1152, 257, 143, 641]",1241,1152,257,150,12.1,
"[17, 73, 1241, 1152, 65537, 58312, 1025]",1241,1152,65537,150,12.1,
"[3, 17, 51, 32, 3, 1, 11]",51,32,3,6,12,
"[5, 37, 185, 144, 5, 1, 29]",185,144,5,22,11.96,
"[5, 37, 185, 144, 17, 2, 17]",185,144,17,22,11.96,
"[5, 37, 185, 144, 257, 116, 65]",185,144,257,22,11.96,
"[5, 37, 185, 144, 65537, 7737, 17]",185,144,65537,22,11.96,
"[5, 73, 365, 288, 17, 1, 17]",365,288,17,42,11.54,
"[5, 73, 365, 288, 257, 58, 65]",365,288,257,42,11.54,
"[5, 73, 365, 288, 65537, 36637, 161]",365,288,65537,42,11.54,
"[97, 193, 18721, 18432, 257, 25, 1793]",18721,18432,257,2142,11.44,
"[97, 193, 18721, 18432, 65537, 36413, 10241]",18721,18432,65537,2142,11.44,
"[5, 11, 55, 40, 3, 2, 27]",55,40,3,6,11.11,
"[3, 73, 219, 144, 17, 2, 17]",219,144,17,24,11.01,
"[3, 73, 219, 144, 257, 116, 65]",219,144,257,24,11.01,
"[3, 73, 219, 144, 65537, 7737, 17]",219,144,65537,24,11.01,
"[3, 37, 111, 72, 5, 2, 29]",111,72,5,12,10.91,
"[3, 37, 111, 72, 17, 4, 17]",111,72,17,12,10.91,
"[3, 37, 111, 72, 257, 232, 65]",111,72,257,12,10.91,
"[3, 37, 111, 72, 65537, 15474, 17]",111,72,65537,12,10.91,
"[5, 41, 205, 160, 5, 1, 224]",205,160,5,22,10.78,
"[3, 19, 57, 36, 3, 1, 60]",57,36,3,6,10.71,
"[3, 19, 57, 36, 5, 4, 29]",57,36,5,6,10.71,
"[3, 19, 57, 36, 17, 8, 17]",57,36,17,6,10.71,
"[3, 19, 57, 36, 257, 207, 29]",57,36,257,6,10.71,
"[3, 19, 57, 36, 65537, 30948, 17]",57,36,65537,6,10.71,
"[5, 23, 115, 88, 5, 3, 53]",115,88,5,12,10.53,
"[5, 23, 115, 88, 17, 11, 57]",115,88,17,12,10.53,
"[5, 23, 115, 88, 257, 73, 25]",115,88,257,12,10.53,
"[5, 23, 115, 88, 65537, 48408, 65]",115,88,65537,12,10.53,
"[7, 17, 119, 96, 5, 4, 77]",119,96,5,12,10.17,
"[89, 257, 22873, 22528, 257, 184, 16129]",22873,22528,257,2310,10.1,
"[89, 257, 22873, 22528, 65537, 59582, 20481]",22873,22528,65537,2310,10.1,
"[13, 17, 221, 192, 5, 2, 77]",221,192,5,22,10,
"[17, 89, 1513, 1408, 17, 6, 497]",1513,1408,17,150,9.92,
"[17, 89, 1513, 1408, 257, 117, 641]",1513,1408,257,150,9.92,
"[17, 89, 1513, 1408, 65537, 35794, 769]",1513,1408,65537,150,9.92,
"[3, 41, 123, 80, 5, 1, 128]",123,80,5,12,9.84,
"[31, 257, 7967, 7680, 257, 60, 1793]",7967,7680,257,768,9.64,
"[31, 257, 7967, 7680, 65537, 48069, 5633]",7967,7680,65537,768,9.64,
"[5, 89, 445, 352, 17, 7, 145]",445,352,17,42,9.46,
"[5, 89, 445, 352, 257, 211, 289]",445,352,257,42,9.46,
"[5, 89, 445, 352, 65537, 12102, 65]",445,352,65537,42,9.46,
"[53, 257, 13621, 13312, 257, 173, 8961]",13621,13312,257,1282,9.41,
"[53, 257, 13621, 13312, 65537, 50418, 10241]",13621,13312,65537,1282,9.41,
"[5, 13, 65, 48, 3, 1, 80]",65,48,3,6,9.38,
"[257, 353, 90721, 90112, 257, 46, 16129]",90721,90112,257,8478,9.35,
"[257, 353, 90721, 90112, 65537, 47664, 65537]",90721,90112,65537,8478,9.35,
"[17, 353, 6001, 5632, 257, 222, 4865]",6001,5632,257,558,9.3,
"[17, 353, 6001, 5632, 65537, 41717, 3585]",6001,5632,65537,558,9.3,
"[5, 353, 1765, 1408, 257, 117, 641]",1765,1408,257,162,9.18,
"[5, 353, 1765, 1408, 65537, 35794, 769]",1765,1408,65537,162,9.18,
"[17, 31, 527, 480, 17, 4, 113]",527,480,17,48,9.13,
"[17, 31, 527, 480, 257, 189, 353]",527,480,257,48,9.13,
"[17, 31, 527, 480, 65537, 48197, 353]",527,480,65537,48,9.13,
"[17, 53, 901, 832, 17, 1, 49]",901,832,17,82,9.11,
"[17, 53, 901, 832, 257, 198, 641]",901,832,257,82,9.11,
"[17, 53, 901, 832, 65537, 20244, 257]",901,832,65537,82,9.11,
"[3, 353, 1059, 704, 257, 234, 641]",1059,704,257,96,9.07,
"[3, 353, 1059, 704, 65537, 6051, 65]",1059,704,65537,96,9.07,
"[11, 193, 2123, 1920, 257, 240, 1793]",2123,1920,257,192,9.05,
"[11, 193, 2123, 1920, 65537, 61202, 1793]",2123,1920,65537,192,9.05,
"[3, 89, 267, 176, 17, 14, 145]",267,176,17,24,9.02,
"[3, 89, 267, 176, 257, 165, 113]",267,176,257,24,9.02,
"[3, 89, 267, 176, 65537, 24204, 65]",267,176,65537,24,9.02,
"[11, 97, 1067, 960, 257, 223, 833]",1067,960,257,96,9.01,
"[11, 97, 1067, 960, 65537, 56867, 833]",1067,960,65537,96,9.01,
"[3, 23, 69, 44, 3, 1, 15]",69,44,3,6,8.82,
"[3, 23, 69, 44, 5, 1, 9]",69,44,5,6,8.82,
"[3, 23, 69, 44, 17, 5, 13]",69,44,17,6,8.82,
"[3, 23, 69, 44, 257, 146, 25]",69,44,257,6,8.82,
"[3, 23, 69, 44, 65537, 31279, 21]",69,44,65537,6,8.82,
"[17, 193, 3281, 3072, 17, 7, 1265]",3281,3072,17,286,8.72,
"[5, 193, 965, 768, 17, 11, 497]",965,768,17,82,8.51,
"[11, 13, 143, 120, 5, 1, 144]",143,120,5,12,8.45,
"[11, 13, 143, 120, 17, 16, 113]",143,120,17,12,8.45,
"[11, 13, 143, 120, 257, 242, 113]",143,120,257,12,8.45,
"[11, 13, 143, 120, 65537, 61714, 113]",143,120,65537,12,8.45,
