"p, q, n, Phi, e, k, d",n,totient,e,# holes,Transparency Percentage,
"[139, 269, 37391, 36984, 257, 75, 10793]",37391,36984,257,12,0.03,
"[139, 269, 37391, 36984, 65537, 583, 329]",37391,36984,65537,12,0.03,
"[139, 277, 38503, 38088, 5, 3, 22853]",38503,38088,5,12,0.03,
"[139, 277, 38503, 38088, 17, 2, 4481]",38503,38088,17,12,0.03,
"[139, 277, 38503, 38088, 257, 84, 12449]",38503,38088,257,12,0.03,
"[139, 277, 38503, 38088, 65537, 41408, 24065]",38503,38088,65537,12,0.03,
"[139, 281, 39059, 38640, 5, 1, 46368]",39059,38640,5,12,0.03,
"[139, 293, 40727, 40296, 5, 4, 32237]",40727,40296,5,12,0.03,
"[139, 293, 40727, 40296, 17, 14, 33185]",40727,40296,17,12,0.03,
"[139, 293, 40727, 40296, 257, 97, 15209]",40727,40296,257,12,0.03,
"[139, 293, 40727, 40296, 65537, 35548, 21857]",40727,40296,65537,12,0.03,
"[139, 313, 43507, 43056, 5, 4, 34445]",43507,43056,5,12,0.03,
"[139, 317, 44063, 43608, 5, 3, 26165]",44063,43608,5,12,0.03,
"[139, 317, 44063, 43608, 17, 11, 28217]",44063,43608,17,12,0.03,
"[139, 317, 44063, 43608, 257, 210, 35633]",44063,43608,257,12,0.03,
"[139, 317, 44063, 43608, 65537, 21234, 14129]",44063,43608,65537,12,0.03,
"[139, 337, 46843, 46368, 5, 3, 27821]",46843,46368,5,12,0.03,
"[139, 521, 72419, 71760, 17, 11, 46433]",72419,71760,17,24,0.03,
"[139, 521, 72419, 71760, 257, 9, 2513]",72419,71760,257,24,0.03,
"[139, 521, 72419, 71760, 65537, 13912, 15233]",72419,71760,65537,24,0.03,
"[149, 151, 22499, 22200, 3, 1, 29600]",22499,22200,3,6,0.03,
"[149, 157, 23393, 23088, 3, 1, 30784]",23393,23088,3,6,0.03,
"[149, 239, 35611, 35224, 5, 1, 7045]",35611,35224,5,12,0.03,
"[149, 239, 35611, 35224, 17, 1, 37296]",35611,35224,17,12,0.03,
"[149, 239, 35611, 35224, 257, 137, 18777]",35611,35224,257,12,0.03,
"[149, 239, 35611, 35224, 65537, 41009, 22041]",35611,35224,65537,12,0.03,
"[149, 251, 37399, 37000, 5, 1, 44400]",37399,37000,5,12,0.03,
"[149, 251, 37399, 37000, 17, 2, 4353]",37399,37000,17,12,0.03,
"[149, 251, 37399, 37000, 257, 225, 32393]",37399,37000,257,12,0.03,
"[149, 251, 37399, 37000, 65537, 61061, 34473]",37399,37000,65537,12,0.03,
"[149, 263, 39187, 38776, 5, 4, 31021]",39187,38776,5,12,0.03,
"[149, 263, 39187, 38776, 17, 1, 2281]",39187,38776,17,12,0.03,
"[149, 263, 39187, 38776, 257, 199, 30025]",39187,38776,257,12,0.03,
"[149, 263, 39187, 38776, 65537, 18742, 11089]",39187,38776,65537,12,0.03,
"[149, 271, 40379, 39960, 5, 1, 47952]",40379,39960,5,12,0.03,
"[149, 271, 40379, 39960, 17, 5, 11753]",40379,39960,17,12,0.03,
"[149, 271, 40379, 39960, 257, 37, 5753]",40379,39960,257,12,0.03,
"[149, 271, 40379, 39960, 65537, 32265, 19673]",40379,39960,65537,12,0.03,
"[149, 283, 42167, 41736, 5, 4, 33389]",42167,41736,5,12,0.03,
"[149, 283, 42167, 41736, 17, 16, 39281]",42167,41736,17,12,0.03,
"[149, 283, 42167, 41736, 257, 194, 31505]",42167,41736,257,12,0.03,
"[149, 283, 42167, 41736, 65537, 23920, 15233]",42167,41736,65537,12,0.03,
"[149, 307, 45743, 45288, 5, 3, 27173]",45743,45288,5,12,0.03,
"[149, 307, 45743, 45288, 17, 1, 47952]",45743,45288,17,12,0.03,
"[149, 307, 45743, 45288, 257, 78, 13745]",45743,45288,257,12,0.03,
"[149, 307, 45743, 45288, 65537, 24614, 17009]",45743,45288,65537,12,0.03,
"[149, 311, 46339, 45880, 5, 1, 55056]",46339,45880,5,12,0.03,
"[149, 311, 46339, 45880, 17, 6, 16193]",46339,45880,17,12,0.03,
"[149, 311, 46339, 45880, 257, 140, 24993]",46339,45880,257,12,0.03,
"[149, 311, 46339, 45880, 65537, 11189, 7833]",46339,45880,65537,12,0.03,
"[149, 433, 64517, 63936, 5, 4, 51149]",64517,63936,5,22,0.03,
"[149, 449, 66901, 66304, 5, 1, 13261]",66901,66304,5,22,0.03,
"[149, 457, 68093, 67488, 5, 3, 40493]",68093,67488,5,22,0.03,
"[149, 461, 68689, 68080, 5, 1, 81696]",68689,68080,5,22,0.03,
"[149, 461, 68689, 68080, 17, 7, 28033]",68689,68080,17,22,0.03,
"[149, 461, 68689, 68080, 257, 72, 19073]",68689,68080,257,22,0.03,
"[149, 461, 68689, 68080, 65537, 14664, 15233]",68689,68080,65537,22,0.03,
"[149, 509, 75841, 75184, 5, 1, 15037]",75841,75184,5,22,0.03,
"[149, 509, 75841, 75184, 17, 5, 22113]",75841,75184,17,22,0.03,
"[149, 509, 75841, 75184, 257, 134, 39201]",75841,75184,257,22,0.03,
"[149, 509, 75841, 75184, 65537, 33920, 38913]",75841,75184,65537,22,0.03,
"[149, 521, 77629, 76960, 5, 1, 92352]",77629,76960,5,22,0.03,
"[149, 541, 80609, 79920, 5, 1, 95904]",80609,79920,5,22,0.03,
"[149, 541, 80609, 79920, 17, 11, 51713]",80609,79920,17,22,0.03,
"[149, 541, 80609, 79920, 257, 147, 45713]",80609,79920,257,22,0.03,
"[149, 541, 80609, 79920, 65537, 48901, 59633]",80609,79920,65537,22,0.03,
"[151, 157, 23707, 23400, 3, 1, 31200]",23707,23400,3,6,0.03,
"[151, 229, 34579, 34200, 5, 1, 41040]",34579,34200,5,12,0.03,
"[151, 229, 34579, 34200, 17, 13, 26153]",34579,34200,17,12,0.03,
"[151, 229, 34579, 34200, 257, 27, 3593]",34579,34200,257,12,0.03,
"[151, 229, 34579, 34200, 65537, 58395, 30473]",34579,34200,65537,12,0.03,
"[151, 233, 35183, 34800, 5, 1, 41760]",35183,34800,5,12,0.03,
"[151, 241, 36391, 36000, 5, 1, 43200]",36391,36000,5,12,0.03,
"[151, 257, 38807, 38400, 5, 1, 46080]",38807,38400,5,12,0.03,
"[151, 269, 40619, 40200, 5, 1, 48240]",40619,40200,5,12,0.03,
"[151, 269, 40619, 40200, 17, 7, 16553]",40619,40200,17,12,0.03,
"[151, 269, 40619, 40200, 257, 69, 10793]",40619,40200,257,12,0.03,
"[151, 269, 40619, 40200, 65537, 47723, 29273]",40619,40200,65537,12,0.03,
"[151, 277, 41827, 41400, 5, 1, 49680]",41827,41400,5,12,0.03,
"[151, 277, 41827, 41400, 17, 10, 24353]",41827,41400,17,12,0.03,
"[151, 277, 41827, 41400, 257, 67, 10793]",41827,41400,257,12,0.03,
"[151, 277, 41827, 41400, 65537, 19745, 12473]",41827,41400,65537,12,0.03,
"[151, 281, 42431, 42000, 5, 1, 50400]",42431,42000,5,12,0.03,
"[151, 293, 44243, 43800, 5, 1, 52560]",44243,43800,5,12,0.03,
"[151, 293, 44243, 43800, 17, 2, 5153]",44243,43800,17,12,0.03,
"[151, 293, 44243, 43800, 257, 7, 1193]",44243,43800,257,12,0.03,
"[151, 293, 44243, 43800, 65537, 53676, 35873]",44243,43800,65537,12,0.03,
"[151, 313, 47263, 46800, 5, 1, 56160]",47263,46800,5,12,0.03,
"[151, 317, 47867, 47400, 5, 1, 56880]",47867,47400,5,12,0.03,
"[151, 317, 47867, 47400, 17, 4, 11153]",47867,47400,17,12,0.03,
"[151, 317, 47867, 47400, 257, 39, 7193]",47867,47400,257,12,0.03,
"[151, 317, 47867, 47400, 65537, 56236, 40673]",47867,47400,65537,12,0.03,
"[151, 457, 69007, 68400, 17, 15, 60353]",69007,68400,17,24,0.03,
"[151, 457, 69007, 68400, 257, 142, 37793]",69007,68400,257,24,0.03,
"[151, 457, 69007, 68400, 65537, 61966, 64673]",69007,68400,65537,24,0.03,
"[151, 521, 78671, 78000, 17, 4, 18353]",78671,78000,17,24,0.03,
"[151, 521, 78671, 78000, 257, 255, 77393]",78671,78000,257,24,0.03,
"[151, 521, 78671, 78000, 65537, 18042, 21473]",78671,78000,65537,24,0.03,
"[157, 223, 35011, 34632, 5, 2, 13853]",35011,34632,5,12,0.03,
"[157, 223, 35011, 34632, 17, 11, 22409]",35011,34632,17,12,0.03,
"[157, 223, 35011, 34632, 257, 102, 13745]",35011,34632,257,12,0.03,
"[157, 223, 35011, 34632, 65537, 6981, 3689]",35011,34632,65537,12,0.03,
"[157, 227, 35639, 35256, 5, 4, 28205]",35639,35256,5,12,0.03,
"[157, 227, 35639, 35256, 17, 9, 18665]",35639,35256,17,12,0.03,
"[157, 227, 35639, 35256, 257, 82, 11249]",35639,35256,257,12,0.03,
"[157, 227, 35639, 35256, 65537, 60215, 32393]",35639,35256,65537,12,0.03,
"[157, 239, 37523, 37128, 5, 3, 22277]",37523,37128,5,12,0.03,
"[157, 239, 37523, 37128, 17, 1, 39312]",37523,37128,17,12,0.03,
"[157, 239, 37523, 37128, 257, 242, 34961]",37523,37128,257,12,0.03,
"[157, 239, 37523, 37128, 65537, 12019, 6809]",37523,37128,65537,12,0.03,
"[157, 251, 39407, 39000, 5, 1, 46800]",39407,39000,5,12,0.03,
"[157, 251, 39407, 39000, 17, 8, 18353]",39407,39000,17,12,0.03,
"[157, 251, 39407, 39000, 257, 253, 38393]",39407,39000,257,12,0.03,
"[157, 251, 39407, 39000, 65537, 36084, 21473]",39407,39000,65537,12,0.03,
"[157, 263, 41291, 40872, 5, 2, 16349]",41291,40872,5,12,0.03,
"[157, 263, 41291, 40872, 17, 4, 9617]",41291,40872,17,12,0.03,
"[157, 263, 41291, 40872, 257, 57, 9065]",41291,40872,257,12,0.03,
"[157, 263, 41291, 40872, 65537, 14420, 8993]",41291,40872,65537,12,0.03,
"[157, 271, 42547, 42120, 5, 1, 50544]",42547,42120,5,12,0.03,
"[157, 271, 42547, 42120, 17, 3, 7433]",42547,42120,17,12,0.03,
"[157, 271, 42547, 42120, 257, 101, 16553]",42547,42120,257,12,0.03,
"[157, 271, 42547, 42120, 65537, 40693, 26153]",42547,42120,65537,12,0.03,
"[157, 283, 44431, 43992, 5, 2, 17597]",44431,43992,5,12,0.03,
"[157, 283, 44431, 43992, 17, 13, 33641]",44431,43992,17,12,0.03,
"[157, 283, 44431, 43992, 257, 217, 37145]",44431,43992,257,12,0.03,
"[157, 283, 44431, 43992, 65537, 44539, 29897]",44431,43992,65537,12,0.03,
"[157, 401, 62957, 62400, 5, 1, 74880]",62957,62400,5,22,0.03,
"[157, 409, 64213, 63648, 5, 3, 38189]",64213,63648,5,22,0.03,
"[157, 421, 66097, 65520, 5, 1, 78624]",66097,65520,5,22,0.03,
"[157, 421, 66097, 65520, 17, 8, 30833]",66097,65520,17,22,0.03,
"[157, 421, 66097, 65520, 257, 120, 30593]",66097,65520,257,22,0.03,
"[157, 421, 66097, 65520, 65537, 30841, 30833]",66097,65520,65537,22,0.03,
"[157, 433, 67981, 67392, 5, 2, 26957]",67981,67392,5,22,0.03,
"[157, 449, 70493, 69888, 5, 3, 41933]",70493,69888,5,22,0.03,
"[157, 457, 71749, 71136, 5, 4, 56909]",71749,71136,5,22,0.03,
"[157, 461, 72377, 71760, 5, 1, 86112]",72377,71760,5,22,0.03,
"[157, 461, 72377, 71760, 17, 11, 46433]",72377,71760,17,22,0.03,
"[157, 461, 72377, 71760, 257, 9, 2513]",72377,71760,257,22,0.03,
"[157, 461, 72377, 71760, 65537, 13912, 15233]",72377,71760,65537,22,0.03,
"[157, 509, 79913, 79248, 5, 3, 47549]",79913,79248,5,22,0.03,
"[157, 509, 79913, 79248, 17, 3, 13985]",79913,79248,17,22,0.03,
"[157, 509, 79913, 79248, 257, 81, 24977]",79913,79248,257,22,0.03,
"[157, 509, 79913, 79248, 65537, 45624, 55169]",79913,79248,65537,22,0.03,
"[157, 521, 81797, 81120, 5, 1, 97344]",81797,81120,5,22,0.03,
"[157, 541, 84937, 84240, 5, 1, 101088]",84937,84240,5,22,0.03,
"[157, 541, 84937, 84240, 17, 10, 49553]",84937,84240,17,22,0.03,
"[157, 541, 84937, 84240, 257, 179, 58673]",84937,84240,257,22,0.03,
"[157, 541, 84937, 84240, 65537, 53115, 68273]",84937,84240,65537,22,0.03,
"[163, 229, 37327, 36936, 5, 4, 29549]",37327,36936,5,12,0.03,
"[163, 229, 37327, 36936, 17, 7, 15209]",37327,36936,17,12,0.03,
"[163, 229, 37327, 36936, 257, 25, 3593]",37327,36936,257,12,0.03,
"[163, 229, 37327, 36936, 65537, 17660, 9953]",37327,36936,65537,12,0.03,
"[163, 233, 37979, 37584, 5, 1, 7517]",37979,37584,5,12,0.03,
"[163, 241, 39283, 38880, 5, 1, 46656]",39283,38880,5,12,0.03,
"[163, 257, 41891, 41472, 5, 2, 16589]",41891,41472,5,12,0.03,
"[163, 269, 43847, 43416, 5, 4, 34733]",43847,43416,5,12,0.03,
"[163, 269, 43847, 43416, 17, 9, 22985]",43847,43416,17,12,0.03,
"[163, 269, 43847, 43416, 257, 121, 20441]",43847,43416,257,12,0.03,
"[163, 269, 43847, 43416, 65537, 19915, 13193]",43847,43416,65537,12,0.03,
"[163, 277, 45151, 44712, 5, 2, 17885]",45151,44712,5,12,0.03,
"[163, 277, 45151, 44712, 17, 8, 21041]",45151,44712,17,12,0.03,
"[163, 277, 45151, 44712, 257, 43, 7481]",45151,44712,257,12,0.03,
"[163, 277, 45151, 44712, 65537, 23137, 15785]",45151,44712,65537,12,0.03,
"[163, 281, 45803, 45360, 5, 1, 54432]",45803,45360,5,12,0.03,
"[163, 293, 47759, 47304, 5, 1, 9461]",47759,47304,5,12,0.03,
"[163, 293, 47759, 47304, 17, 5, 13913]",47759,47304,17,12,0.03,
"[163, 293, 47759, 47304, 257, 16, 2945]",47759,47304,257,12,0.03,
"[163, 293, 47759, 47304, 65537, 49700, 35873]",47759,47304,65537,12,0.03,
"[163, 457, 74491, 73872, 17, 12, 52145]",74491,73872,17,24,0.03,
"[163, 457, 74491, 73872, 257, 141, 40529]",74491,73872,257,24,0.03,
"[163, 457, 74491, 73872, 65537, 8830, 9953]",74491,73872,65537,24,0.03,
"[163, 521, 84923, 84240, 17, 10, 49553]",84923,84240,17,24,0.03,
"[163, 521, 84923, 84240, 257, 179, 58673]",84923,84240,257,24,0.03,
"[163, 521, 84923, 84240, 65537, 53115, 68273]",84923,84240,65537,24,0.03,
"[167, 229, 38243, 37848, 5, 3, 22709]",38243,37848,5,12,0.03,
"[167, 229, 38243, 37848, 17, 14, 31169]",38243,37848,17,12,0.03,
"[167, 229, 38243, 37848, 257, 108, 15905]",38243,37848,257,12,0.03,
"[167, 229, 38243, 37848, 65537, 63821, 36857]",38243,37848,65537,12,0.03,
"[167, 233, 38911, 38512, 5, 2, 15405]",38911,38512,5,12,0.03,
"[167, 241, 40247, 39840, 5, 1, 47808]",40247,39840,5,12,0.03,
"[167, 257, 42919, 42496, 5, 4, 33997]",42919,42496,5,12,0.03,
"[167, 269, 44923, 44488, 5, 3, 26693]",44923,44488,5,12,0.03,
"[167, 269, 44923, 44488, 17, 1, 2617]",44923,44488,17,12,0.03,
"[167, 269, 44923, 44488, 257, 19, 3289]",44923,44488,257,12,0.03,
"[167, 269, 44923, 44488, 65537, 45492, 30881]",44923,44488,65537,12,0.03,
"[167, 277, 46259, 45816, 5, 4, 36653]",46259,45816,5,12,0.03,
"[167, 277, 46259, 45816, 17, 16, 43121]",46259,45816,17,12,0.03,
"[167, 277, 46259, 45816, 257, 11, 1961]",46259,45816,257,12,0.03,
"[167, 277, 46259, 45816, 65537, 61270, 42833]",46259,45816,65537,12,0.03,
"[167, 281, 46927, 46480, 5, 1, 55776]",46927,46480,5,12,0.03,
"[167, 457, 76319, 75696, 17, 7, 31169]",76319,75696,17,24,0.03,
"[167, 457, 76319, 75696, 257, 54, 15905]",76319,75696,257,24,0.03,
"[167, 457, 76319, 75696, 65537, 64679, 74705]",76319,75696,65537,24,0.03,
"[167, 521, 87007, 86320, 17, 3, 15233]",87007,86320,17,24,0.03,
"[167, 521, 87007, 86320, 257, 249, 83633]",87007,86320,257,24,0.03,
"[167, 521, 87007, 86320, 65537, 12355, 16273]",87007,86320,65537,24,0.03,
"[173, 199, 34427, 34056, 5, 4, 27245]",34427,34056,5,12,0.03,
"[173, 199, 34427, 34056, 17, 10, 20033]",34427,34056,17,12,0.03,
"[173, 199, 34427, 34056, 257, 220, 29153]",34427,34056,257,12,0.03,
"[173, 199, 34427, 34056, 65537, 51437, 26729]",34427,34056,65537,12,0.03,
"[173, 211, 36503, 36120, 5, 1, 43344]",36503,36120,5,12,0.03,
"[173, 211, 36503, 36120, 17, 7, 14873]",36503,36120,17,12,0.03,
"[173, 211, 36503, 36120, 257, 134, 18833]",36503,36120,257,12,0.03,
"[173, 211, 36503, 36120, 65537, 14793, 8153]",36503,36120,65537,12,0.03,
"[173, 223, 38579, 38184, 5, 1, 7637]",38579,38184,5,12,0.03,
"[173, 223, 38579, 38184, 17, 8, 17969]",38579,38184,17,12,0.03,
"[173, 223, 38579, 38184, 257, 224, 33281]",38579,38184,257,12,0.03,
"[173, 223, 38579, 38184, 65537, 24621, 14345]",38579,38184,65537,12,0.03,
"[173, 227, 39271, 38872, 5, 2, 15549]",39271,38872,5,12,0.03,
"[173, 227, 39271, 38872, 17, 5, 11433]",39271,38872,17,12,0.03,
"[173, 227, 39271, 38872, 257, 170, 25713]",39271,38872,257,12,0.03,
"[173, 227, 39271, 38872, 65537, 7366, 4369]",39271,38872,65537,12,0.03,
"[173, 239, 41347, 40936, 5, 4, 32749]",41347,40936,5,12,0.03,
"[173, 239, 41347, 40936, 17, 1, 43344]",41347,40936,17,12,0.03,
"[173, 239, 41347, 40936, 257, 88, 14017]",41347,40936,257,12,0.03,
"[173, 239, 41347, 40936, 65537, 24618, 15377]",41347,40936,65537,12,0.03,
"[173, 251, 43423, 43000, 5, 1, 51600]",43423,43000,5,12,0.03,
"[173, 251, 43423, 43000, 17, 12, 30353]",43423,43000,17,12,0.03,
"[173, 251, 43423, 43000, 257, 92, 15393]",43423,43000,257,12,0.03,
"[173, 251, 43423, 43000, 65537, 28155, 18473]",43423,43000,65537,12,0.03,
"[173, 263, 45499, 45064, 5, 1, 9013]",45499,45064,5,12,0.03,
"[173, 263, 45499, 45064, 17, 6, 15905]",45499,45064,17,12,0.03,
"[173, 263, 45499, 45064, 257, 231, 40505]",45499,45064,257,12,0.03,
"[173, 263, 45499, 45064, 65537, 31368, 21569]",45499,45064,65537,12,0.03,
"[173, 271, 46883, 46440, 5, 1, 55728]",46883,46440,5,12,0.03,
"[173, 271, 46883, 46440, 17, 13, 35513]",46883,46440,17,12,0.03,
"[173, 271, 46883, 46440, 257, 247, 44633]",46883,46440,257,12,0.03,
"[173, 271, 46883, 46440, 65537, 55197, 39113]",46883,46440,65537,12,0.03,
"[173, 373, 64529, 63984, 5, 1, 12797]",64529,63984,5,22,0.03,
"[173, 373, 64529, 63984, 17, 13, 48929]",64529,63984,17,22,0.03,
"[173, 373, 64529, 63984, 257, 200, 49793]",64529,63984,257,22,0.03,
"[173, 373, 64529, 63984, 65537, 32663, 31889]",64529,63984,65537,22,0.03,
"[173, 389, 67297, 66736, 5, 4, 53389]",67297,66736,5,22,0.03,
"[173, 389, 67297, 66736, 17, 3, 11777]",67297,66736,17,22,0.03,
"[173, 389, 67297, 66736, 257, 205, 53233]",67297,66736,257,22,0.03,
"[173, 389, 67297, 66736, 65537, 57666, 58721]",67297,66736,65537,22,0.03,
"[173, 397, 68681, 68112, 5, 2, 27245]",68681,68112,5,22,0.03,
"[173, 397, 68681, 68112, 17, 5, 20033]",68681,68112,17,22,0.03,
"[173, 397, 68681, 68112, 257, 110, 29153]",68681,68112,257,22,0.03,
"[173, 397, 68681, 68112, 65537, 58487, 60785]",68681,68112,65537,22,0.03,
"[173, 401, 69373, 68800, 5, 1, 82560]",69373,68800,5,22,0.03,
"[173, 409, 70757, 70176, 5, 4, 56141]",70757,70176,5,22,0.03,
"[173, 421, 72833, 72240, 5, 1, 86688]",72833,72240,5,22,0.03,
"[173, 421, 72833, 72240, 17, 12, 50993]",72833,72240,17,22,0.03,
"[173, 421, 72833, 72240, 257, 67, 18833]",72833,72240,257,22,0.03,
"[173, 421, 72833, 72240, 65537, 40165, 44273]",72833,72240,65537,22,0.03,
"[173, 433, 74909, 74304, 5, 1, 14861]",74909,74304,5,22,0.03,
"[173, 449, 77677, 77056, 5, 4, 61645]",77677,77056,5,22,0.03,
"[173, 457, 79061, 78432, 5, 2, 31373]",79061,78432,5,22,0.03,
"[173, 461, 79753, 79120, 5, 1, 94944]",79753,79120,5,22,0.03,
"[173, 461, 79753, 79120, 17, 8, 37233]",79753,79120,17,22,0.03,
"[173, 461, 79753, 79120, 257, 50, 15393]",79753,79120,257,22,0.03,
"[173, 461, 79753, 79120, 65537, 53769, 64913]",79753,79120,65537,22,0.03,
"[179, 193, 34547, 34176, 5, 4, 27341]",34547,34176,5,12,0.03,
"[179, 197, 35263, 34888, 5, 3, 20933]",35263,34888,5,12,0.03,
"[179, 197, 35263, 34888, 17, 4, 8209]",35263,34888,17,12,0.03,
"[179, 197, 35263, 34888, 257, 253, 34345]",35263,34888,257,12,0.03,
"[179, 197, 35263, 34888, 65537, 45191, 24057]",35263,34888,65537,12,0.03,
"[179, 229, 40991, 40584, 5, 1, 8117]",40991,40584,5,12,0.03,
"[179, 229, 40991, 40584, 17, 10, 23873]",40991,40584,17,12,0.03,
"[179, 229, 40991, 40584, 257, 222, 35057]",40991,40584,257,12,0.03,
"[179, 229, 40991, 40584, 65537, 30800, 19073]",40991,40584,65537,12,0.03,
"[179, 233, 41707, 41296, 5, 4, 33037]",41707,41296,5,12,0.03,
"[179, 241, 43139, 42720, 5, 1, 51264]",43139,42720,5,12,0.03,
"[179, 257, 46003, 45568, 5, 3, 27341]",46003,45568,5,12,0.03,
"[179, 409, 73211, 72624, 17, 1, 76896]",73211,72624,17,24,0.03,
"[179, 409, 73211, 72624, 257, 245, 69233]",73211,72624,257,24,0.03,
"[179, 409, 73211, 72624, 65537, 24922, 27617]",73211,72624,65537,24,0.03,
"[179, 457, 81803, 81168, 17, 5, 23873]",81803,81168,17,24,0.03,
"[179, 457, 81803, 81168, 257, 111, 35057]",81803,81168,257,24,0.03,
"[179, 457, 81803, 81168, 65537, 15400, 19073]",81803,81168,65537,24,0.03,
"[179, 521, 93259, 92560, 17, 7, 38113]",93259,92560,17,24,0.03,
"[179, 521, 93259, 92560, 257, 212, 76353]",93259,92560,257,24,0.03,
"[179, 521, 93259, 92560, 65537, 3422, 4833]",93259,92560,65537,24,0.03,
"[181, 191, 34571, 34200, 5, 1, 41040]",34571,34200,5,12,0.03,
"[181, 191, 34571, 34200, 17, 13, 26153]",34571,34200,17,12,0.03,
"[181, 191, 34571, 34200, 257, 27, 3593]",34571,34200,257,12,0.03,
"[181, 191, 34571, 34200, 65537, 58395, 30473]",34571,34200,65537,12,0.03,
"[181, 199, 36019, 35640, 5, 1, 42768]",36019,35640,5,12,0.03,
"[181, 199, 36019, 35640, 17, 2, 4193]",36019,35640,17,12,0.03,
"[181, 199, 36019, 35640, 257, 96, 13313]",36019,35640,257,12,0.03,
"[181, 199, 36019, 35640, 65537, 30218, 16433]",36019,35640,65537,12,0.03,
"[181, 211, 38191, 37800, 5, 1, 45360]",38191,37800,5,12,0.03,
"[181, 211, 38191, 37800, 17, 15, 33353]",38191,37800,17,12,0.03,
"[181, 211, 38191, 37800, 257, 208, 30593]",38191,37800,257,12,0.03,
"[181, 211, 38191, 37800, 65537, 62196, 35873]",38191,37800,65537,12,0.03,
"[181, 223, 40363, 39960, 5, 1, 47952]",40363,39960,5,12,0.03,
"[181, 223, 40363, 39960, 17, 5, 11753]",40363,39960,17,12,0.03,
"[181, 223, 40363, 39960, 257, 37, 5753]",40363,39960,257,12,0.03,
"[181, 223, 40363, 39960, 65537, 32265, 19673]",40363,39960,65537,12,0.03,
"[181, 227, 41087, 40680, 5, 1, 48816]",41087,40680,5,12,0.03,
"[181, 227, 41087, 40680, 17, 1, 2393]",41087,40680,17,12,0.03,
"[181, 227, 41087, 40680, 257, 191, 30233]",41087,40680,257,12,0.03,
"[181, 227, 41087, 40680, 65537, 8495, 5273]",41087,40680,65537,12,0.03,
"[181, 239, 43259, 42840, 5, 1, 51408]",43259,42840,5,12,0.03,
"[181, 239, 43259, 42840, 17, 1, 45360]",43259,42840,17,12,0.03,
"[181, 239, 43259, 42840, 257, 244, 40673]",43259,42840,257,12,0.03,
"[181, 239, 43259, 42840, 65537, 27893, 18233]",43259,42840,65537,12,0.03,
"[181, 251, 45431, 45000, 5, 1, 54000]",45431,45000,5,12,0.03,
"[181, 251, 45431, 45000, 17, 16, 42353]",45431,45000,17,12,0.03,
"[181, 251, 45431, 45000, 257, 185, 32393]",45431,45000,257,12,0.03,
"[181, 251, 45431, 45000, 65537, 5058, 3473]",45431,45000,65537,12,0.03,
"[181, 263, 47603, 47160, 5, 1, 56592]",47603,47160,5,12,0.03,
"[181, 263, 47603, 47160, 17, 8, 22193]",47603,47160,17,12,0.03,
"[181, 263, 47603, 47160, 257, 255, 46793]",47603,47160,257,12,0.03,
"[181, 263, 47603, 47160, 65537, 34343, 24713]",47603,47160,65537,12,0.03,
"[181, 349, 63169, 62640, 5, 1, 75168]",63169,62640,5,22,0.03,
"[181, 349, 63169, 62640, 17, 7, 25793]",63169,62640,17,22,0.03,
"[181, 349, 63169, 62640, 257, 223, 54353]",63169,62640,257,22,0.03,
"[181, 349, 63169, 62640, 65537, 17193, 16433]",63169,62640,65537,22,0.03,
"[181, 353, 63893, 63360, 5, 1, 76032]",63893,63360,5,22,0.03,
"[181, 373, 67513, 66960, 5, 1, 80352]",67513,66960,5,22,0.03,
"[181, 373, 67513, 66960, 17, 6, 23633]",67513,66960,17,22,0.03,
"[181, 373, 67513, 66960, 257, 134, 34913]",67513,66960,257,22,0.03,
"[181, 373, 67513, 66960, 65537, 64708, 66113]",67513,66960,65537,22,0.03,
"[181, 389, 70409, 69840, 5, 1, 83808]",70409,69840,5,22,0.03,
"[181, 389, 70409, 69840, 17, 4, 16433]",70409,69840,17,22,0.03,
"[181, 389, 70409, 69840, 257, 253, 68753]",70409,69840,257,22,0.03,
"[181, 389, 70409, 69840, 65537, 20150, 21473]",70409,69840,65537,22,0.03,
"[181, 397, 71857, 71280, 5, 1, 85536]",71857,71280,5,22,0.03,
"[181, 397, 71857, 71280, 17, 1, 4193]",71857,71280,17,22,0.03,
"[181, 397, 71857, 71280, 257, 48, 13313]",71857,71280,257,22,0.03,
"[181, 397, 71857, 71280, 65537, 15109, 16433]",71857,71280,65537,22,0.03,
"[181, 401, 72581, 72000, 5, 1, 86400]",72581,72000,5,22,0.03,
"[181, 409, 74029, 73440, 5, 1, 88128]",74029,73440,5,22,0.03,
"[181, 421, 76201, 75600, 5, 1, 90720]",76201,75600,5,22,0.03,
"[181, 421, 76201, 75600, 17, 16, 71153]",76201,75600,17,22,0.03,
"[181, 421, 76201, 75600, 257, 104, 30593]",76201,75600,257,22,0.03,
"[181, 421, 76201, 75600, 65537, 31098, 35873]",76201,75600,65537,22,0.03,
"[181, 433, 78373, 77760, 5, 1, 93312]",78373,77760,5,22,0.03,
"[181, 449, 81269, 80640, 5, 1, 96768]",81269,80640,5,22,0.03,
"[181, 457, 82717, 82080, 5, 1, 98496]",82717,82080,5,22,0.03,
"[181, 461, 83441, 82800, 5, 1, 99360]",83441,82800,5,22,0.03,
"[181, 461, 83441, 82800, 17, 5, 24353]",83441,82800,17,22,0.03,
"[181, 461, 83441, 82800, 257, 162, 52193]",83441,82800,257,22,0.03,
