"[3, 113, 339, 224, 17, 11, 145]","[17, 3, 5, 257, 65537]"
"[3, 127, 381, 252, 3, 1, 420]","[3, 5, 17, 257, 65537]"
"[3, 131, 393, 260, 257, 171, 173]","[257, 3, 5, 17, 65537]"
"[3, 137, 411, 272, 65537, 34937, 145]","[65537, 3, 5, 17, 257]"
"[3, 139, 417, 276, 257, 27, 29]","[257, 3, 5, 17, 65537]"
"[3, 149, 447, 296, 65537, 30333, 137]","[65537, 3, 5, 17, 257]"
"[3, 151, 453, 300, 257, 251, 293]","[257, 3, 5, 17, 65537]"
"[3, 157, 471, 312, 3, 1, 520]","[3, 5, 17, 257, 65537]"
"[3, 163, 489, 324, 3, 1, 540]","[3, 5, 17, 257, 65537]"
"[3, 167, 501, 332, 17, 15, 293]","[17, 3, 5, 257, 65537]"
"[3, 173, 519, 344, 17, 4, 81]","[17, 3, 5, 257, 65537]"
"[3, 179, 537, 356, 65537, 37739, 205]","[65537, 3, 5, 17, 257]"
"[3, 181, 543, 360, 65537, 42417, 233]","[65537, 3, 5, 17, 257]"
"[3, 191, 573, 380, 257, 117, 173]","[257, 3, 5, 17, 65537]"
"[3, 193, 579, 384, 17, 5, 113]","[17, 3, 5, 257, 65537]"
"[3, 197, 591, 392, 257, 158, 241]","[257, 3, 5, 17, 65537]"
"[3, 199, 597, 396, 5, 4, 317]","[5, 3, 17, 257, 65537]"
"[3, 211, 633, 420, 17, 7, 173]","[17, 3, 5, 257, 65537]"
"[3, 223, 669, 444, 257, 246, 425]","[257, 3, 5, 17, 65537]"
"[3, 227, 681, 452, 5, 2, 181]","[5, 3, 17, 257, 65537]"
"[3, 229, 687, 456, 5, 4, 365]","[5, 3, 17, 257, 65537]"
"[3, 233, 699, 464, 257, 36, 65]","[257, 3, 5, 17, 65537]"
"[3, 239, 717, 476, 5, 4, 381]","[5, 3, 17, 257, 65537]"
"[3, 241, 723, 480, 17, 4, 113]","[17, 3, 5, 257, 65537]"
"[3, 251, 753, 500, 257, 202, 393]","[257, 3, 5, 17, 65537]"
"[3, 257, 771, 512, 3, 1, 171]","[3, 5, 17, 257, 65537]"
"[3, 263, 789, 524, 65537, 10631, 85]","[65537, 3, 5, 17, 257]"
"[3, 269, 807, 536, 5, 4, 429]","[5, 3, 17, 257, 65537]"
"[3, 271, 813, 540, 3, 1, 900]","[3, 5, 17, 257, 65537]"
"[3, 277, 831, 552, 3, 1, 920]","[3, 5, 17, 257, 65537]"
"[3, 281, 843, 560, 5, 1, 896]","[5, 3, 17, 257, 65537]"
"[3, 283, 849, 564, 5, 1, 113]","[5, 3, 17, 257, 65537]"
"[3, 293, 879, 584, 257, 11, 25]","[257, 3, 5, 17, 65537]"
"[3, 307, 921, 612, 257, 118, 281]","[257, 3, 5, 17, 65537]"
"[3, 311, 933, 620, 5, 1, 992]","[5, 3, 17, 257, 65537]"
"[3, 313, 939, 624, 17, 7, 257]","[17, 3, 5, 257, 65537]"
"[3, 317, 951, 632, 257, 98, 241]","[257, 3, 5, 17, 65537]"
"[3, 331, 993, 660, 17, 6, 233]","[17, 3, 5, 257, 65537]"
"[3, 337, 1011, 672, 257, 135, 353]","[257, 3, 5, 17, 65537]"
"[3, 347, 1041, 692, 5, 2, 277]","[5, 3, 17, 257, 65537]"
"[3, 349, 1047, 696, 5, 4, 557]","[5, 3, 17, 257, 65537]"
"[3, 353, 1059, 704, 3, 1, 235]","[3, 5, 17, 257, 65537]"
"[3, 359, 1077, 716, 17, 8, 337]","[17, 3, 5, 257, 65537]"
"[3, 367, 1101, 732, 257, 145, 413]","[257, 3, 5, 17, 65537]"
"[3, 373, 1119, 744, 17, 13, 569]","[17, 3, 5, 257, 65537]"
"[3, 379, 1137, 756, 3, 1, 1260]","[3, 5, 17, 257, 65537]"
"[3, 383, 1149, 764, 65537, 49839, 581]","[65537, 3, 5, 17, 257]"
"[3, 389, 1167, 776, 17, 3, 137]","[17, 3, 5, 257, 65537]"
"[3, 397, 1191, 792, 65537, 49070, 593]","[65537, 3, 5, 17, 257]"
"[3, 401, 1203, 800, 17, 16, 753]","[17, 3, 5, 257, 65537]"
"[3, 409, 1227, 816, 3, 1, 1360]","[3, 5, 17, 257, 65537]"
"[3, 419, 1257, 836, 65537, 53386, 681]","[65537, 3, 5, 17, 257]"
"[3, 421, 1263, 840, 3, 1, 1400]","[3, 5, 17, 257, 65537]"
"[3, 431, 1293, 860, 65537, 31473, 413]","[65537, 3, 5, 17, 257]"
"[3, 433, 1299, 864, 257, 105, 353]","[257, 3, 5, 17, 65537]"
"[3, 439, 1317, 876, 5, 4, 701]","[5, 3, 17, 257, 65537]"
"[3, 443, 1329, 884, 65537, 46039, 621]","[65537, 3, 5, 17, 257]"
"[3, 449, 1347, 896, 65537, 18798, 257]","[65537, 3, 5, 17, 257]"
"[3, 457, 1371, 912, 5, 2, 365]","[5, 3, 17, 257, 65537]"
"[3, 461, 1383, 920, 257, 188, 673]","[257, 3, 5, 17, 65537]"
"[3, 463, 1389, 924, 5, 1, 185]","[5, 3, 17, 257, 65537]"
"[3, 467, 1401, 932, 3, 1, 311]","[3, 5, 17, 257, 65537]"
"[3, 479, 1437, 956, 65537, 37910, 553]","[65537, 3, 5, 17, 257]"
"[3, 487, 1461, 972, 3, 1, 1620]","[3, 5, 17, 257, 65537]"
"[3, 491, 1473, 980, 5, 1, 1568]","[5, 3, 17, 257, 65537]"
"[3, 499, 1497, 996, 65537, 329, 5]","[65537, 3, 5, 17, 257]"
"[3, 503, 1509, 1004, 257, 75, 293]","[257, 3, 5, 17, 65537]"
"[3, 509, 1527, 1016, 257, 150, 593]","[257, 3, 5, 17, 65537]"
"[3, 521, 1563, 1040, 3, 1, 347]","[3, 5, 17, 257, 65537]"
"[3, 523, 1569, 1044, 3, 1, 1740]","[3, 5, 17, 257, 65537]"
