"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage 
"[5, 17, 85, 64, 28111, 20644, 47]",85,64,28111,7.14
"[5, 17, 85, 64, 28123, 8349, 19]",85,64,28123,7.14
"[5, 17, 85, 64, 28151, 3079, 7]",85,64,28151,7.14
"[5, 17, 85, 64, 28163, 18922, 43]",85,64,28163,7.14
"[5, 17, 85, 64, 28181, 26860, 61]",85,64,28181,26.19
"[5, 17, 85, 64, 28183, 17174, 39]",85,64,28183,7.14
"[5, 17, 85, 64, 28201, 11016, 25]",85,64,28201,50.0
"[5, 17, 85, 64, 28211, 26007, 59]",85,64,28211,7.14
"[5, 17, 85, 64, 28219, 22487, 51]",85,64,28219,7.14
"[5, 17, 85, 64, 28229, 5734, 13]",85,64,28229,26.19
"[5, 17, 85, 64, 28277, 12813, 29]",85,64,28277,26.19
"[5, 17, 85, 64, 28279, 3093, 7]",85,64,28279,7.14
"[5, 17, 85, 64, 28283, 22538, 51]",85,64,28283,7.14
"[5, 17, 85, 64, 28289, 442, 1]",85,64,28289,97.62
"[5, 17, 85, 64, 28297, 25202, 57]",85,64,28297,50.0
"[5, 17, 85, 64, 28307, 11942, 27]",85,64,28307,7.14
"[5, 17, 85, 64, 28309, 26982, 61]",85,64,28309,26.19
"[5, 17, 85, 64, 28319, 13717, 31]",85,64,28319,7.14
"[5, 17, 85, 64, 28349, 9302, 21]",85,64,28349,26.19
"[5, 17, 85, 64, 28351, 27908, 63]",85,64,28351,7.14
"[5, 17, 85, 64, 28387, 4879, 11]",85,64,28387,7.14
"[5, 17, 85, 64, 28393, 11091, 25]",85,64,28393,50.0
"[5, 17, 85, 64, 28403, 26184, 59]",85,64,28403,7.14
"[5, 17, 85, 64, 28409, 3995, 9]",85,64,28409,50.0
"[5, 17, 85, 64, 28411, 22640, 51]",85,64,28411,7.14
"[5, 17, 85, 64, 28429, 2221, 5]",85,64,28429,26.19
"[5, 17, 85, 64, 28433, 21769, 49]",85,64,28433,97.62
"[5, 17, 85, 64, 28439, 17330, 39]",85,64,28439,7.14
"[5, 17, 85, 64, 28447, 13779, 31]",85,64,28447,7.14
"[5, 17, 85, 64, 28463, 6671, 15]",85,64,28463,7.14
"[5, 17, 85, 64, 28477, 9344, 21]",85,64,28477,26.19
"[5, 17, 85, 64, 28493, 2226, 5]",85,64,28493,26.19
"[5, 17, 85, 64, 28499, 12023, 27]",85,64,28499,7.14
"[5, 17, 85, 64, 28513, 14702, 33]",85,64,28513,97.62
"[5, 17, 85, 64, 28517, 20051, 45]",85,64,28517,26.19
"[5, 17, 85, 64, 28537, 4013, 9]",85,64,28537,50.0
"[5, 17, 85, 64, 28541, 9365, 21]",85,64,28541,26.19
"[5, 17, 85, 64, 28547, 19180, 43]",85,64,28547,7.14
"[5, 17, 85, 64, 28549, 5799, 13]",85,64,28549,26.19
"[5, 17, 85, 64, 28559, 20973, 47]",85,64,28559,7.14
"[5, 17, 85, 64, 28571, 8482, 19]",85,64,28571,7.14
"[5, 17, 85, 64, 28573, 23662, 53]",85,64,28573,26.19
"[5, 17, 85, 64, 28579, 4912, 11]",85,64,28579,7.14
"[5, 17, 85, 64, 28591, 6701, 15]",85,64,28591,7.14
"[5, 17, 85, 64, 28597, 12958, 29]",85,64,28597,26.19
"[5, 17, 85, 64, 28603, 22793, 51]",85,64,28603,7.14
"[5, 17, 85, 64, 28607, 28160, 63]",85,64,28607,7.14
"[5, 17, 85, 64, 28619, 15651, 35]",85,64,28619,7.14
"[5, 17, 85, 64, 28621, 2236, 5]",85,64,28621,26.19
"[5, 17, 85, 64, 28627, 12077, 27]",85,64,28627,7.14
"[5, 17, 85, 64, 28631, 17447, 39]",85,64,28631,7.14
"[5, 17, 85, 64, 28643, 4923, 11]",85,64,28643,7.14
"[5, 17, 85, 64, 28649, 11191, 25]",85,64,28649,50.0
"[5, 17, 85, 64, 28657, 7612, 17]",85,64,28657,97.62
"[5, 17, 85, 64, 28661, 12987, 29]",85,64,28661,26.19
"[5, 17, 85, 64, 28663, 3135, 7]",85,64,28663,7.14
"[5, 17, 85, 64, 28669, 9407, 21]",85,64,28669,26.19
"[5, 17, 85, 64, 28687, 21067, 47]",85,64,28687,7.14
"[5, 17, 85, 64, 28697, 18384, 41]",85,64,28697,50.0
"[5, 17, 85, 64, 28703, 13903, 31]",85,64,28703,7.14
"[5, 17, 85, 64, 28711, 10318, 23]",85,64,28711,7.14
"[5, 17, 85, 64, 28723, 26479, 59]",85,64,28723,7.14
"[5, 17, 85, 64, 28729, 4040, 9]",85,64,28729,50.0
"[5, 17, 85, 64, 28751, 21114, 47]",85,64,28751,7.14
"[5, 17, 85, 64, 28753, 22014, 49]",85,64,28753,97.62
"[5, 17, 85, 64, 28759, 17525, 39]",85,64,28759,7.14
"[5, 17, 85, 64, 28771, 4945, 11]",85,64,28771,7.14
"[5, 17, 85, 64, 28789, 13045, 29]",85,64,28789,26.19
"[5, 17, 85, 64, 28793, 4049, 9]",85,64,28793,50.0
"[5, 17, 85, 64, 28807, 24756, 55]",85,64,28807,7.14
"[5, 17, 85, 64, 28813, 2251, 5]",85,64,28813,26.19
"[5, 17, 85, 64, 28817, 22063, 49]",85,64,28817,97.62
"[5, 17, 85, 64, 28837, 20276, 45]",85,64,28837,26.19
"[5, 17, 85, 64, 28843, 1352, 3]",85,64,28843,7.14
"[5, 17, 85, 64, 28859, 22997, 51]",85,64,28859,7.14
"[5, 17, 85, 64, 28867, 19395, 43]",85,64,28867,7.14
"[5, 17, 85, 64, 28871, 24811, 55]",85,64,28871,7.14
"[5, 17, 85, 64, 28879, 21208, 47]",85,64,28879,7.14
"[5, 17, 85, 64, 28901, 20321, 45]",85,64,28901,26.19
"[5, 17, 85, 64, 28909, 16713, 37]",85,64,28909,26.19
"[5, 17, 85, 64, 28921, 4067, 9]",85,64,28921,50.0
"[5, 17, 85, 64, 28927, 28475, 63]",85,64,28927,7.14
"[5, 17, 85, 64, 28933, 5877, 13]",85,64,28933,26.19
"[5, 17, 85, 64, 28949, 27592, 61]",85,64,28949,26.19
"[5, 17, 85, 64, 28961, 14933, 33]",85,64,28961,97.62
"[5, 17, 85, 64, 28979, 26715, 59]",85,64,28979,7.14
"[5, 17, 85, 64, 29009, 22210, 49]",85,64,29009,97.62
"[5, 17, 85, 64, 29017, 18589, 41]",85,64,29017,50.0
"[5, 17, 85, 64, 29021, 24033, 53]",85,64,29021,26.19
"[5, 17, 85, 64, 29023, 14058, 31]",85,64,29023,7.14
"[5, 17, 85, 64, 29027, 4989, 11]",85,64,29027,7.14
"[5, 17, 85, 64, 29033, 11341, 25]",85,64,29033,50.0
"[5, 17, 85, 64, 29059, 19524, 43]",85,64,29059,7.14
"[5, 17, 85, 64, 29063, 24976, 55]",85,64,29063,7.14
"[5, 17, 85, 64, 29077, 27714, 61]",85,64,29077,26.19
"[5, 17, 85, 64, 29101, 16824, 37]",85,64,29101,26.19
"[5, 17, 85, 64, 29123, 19567, 43]",85,64,29123,7.14
"[5, 17, 85, 64, 29129, 25943, 57]",85,64,29129,50.0
"[5, 17, 85, 64, 29131, 15931, 35]",85,64,29131,7.14
"[5, 17, 85, 64, 29137, 22308, 49]",85,64,29137,97.62
"[5, 17, 85, 64, 29147, 8653, 19]",85,64,29147,7.14
"[5, 17, 85, 64, 29153, 15032, 33]",85,64,29153,97.62
"[5, 17, 85, 64, 29167, 6836, 15]",85,64,29167,7.14
"[5, 17, 85, 64, 29173, 13219, 29]",85,64,29173,26.19
"[5, 17, 85, 64, 29179, 23252, 51]",85,64,29179,7.14
"[5, 17, 85, 64, 29191, 25086, 55]",85,64,29191,7.14
"[5, 17, 85, 64, 29201, 22357, 49]",85,64,29201,97.62
"[5, 17, 85, 64, 29207, 17798, 39]",85,64,29207,7.14
"[5, 17, 85, 64, 29209, 18712, 41]",85,64,29209,50.0
"[5, 17, 85, 64, 29221, 20546, 45]",85,64,29221,26.19
"[5, 17, 85, 64, 29231, 6851, 15]",85,64,29231,7.14
"[5, 17, 85, 64, 29243, 23303, 51]",85,64,29243,7.14
"[5, 17, 85, 64, 29251, 19653, 43]",85,64,29251,7.14
"[5, 17, 85, 64, 29269, 27897, 61]",85,64,29269,26.19
"[5, 17, 85, 64, 29287, 10525, 23]",85,64,29287,7.14
"[5, 17, 85, 64, 29297, 7782, 17]",85,64,29297,97.62
"[5, 17, 85, 64, 29303, 3205, 7]",85,64,29303,7.14
"[5, 17, 85, 64, 29311, 28853, 63]",85,64,29311,7.14
"[5, 17, 85, 64, 29327, 21537, 47]",85,64,29327,7.14
"[5, 17, 85, 64, 29333, 27958, 61]",85,64,29333,26.19
"[5, 17, 85, 64, 29339, 8710, 19]",85,64,29339,7.14
"[5, 17, 85, 64, 29347, 5044, 11]",85,64,29347,7.14
"[5, 17, 85, 64, 29363, 27069, 59]",85,64,29363,7.14
"[5, 17, 85, 64, 29383, 25251, 55]",85,64,29383,7.14
"[5, 17, 85, 64, 29387, 16071, 35]",85,64,29387,7.14
"[5, 17, 85, 64, 29389, 2296, 5]",85,64,29389,26.19
"[5, 17, 85, 64, 29399, 17915, 39]",85,64,29399,7.14
"[5, 17, 85, 64, 29401, 18835, 41]",85,64,29401,50.0
"[5, 17, 85, 64, 29411, 5055, 11]",85,64,29411,7.14
"[5, 17, 85, 64, 29423, 6896, 15]",85,64,29423,7.14
"[5, 17, 85, 64, 29429, 13335, 29]",85,64,29429,26.19
"[5, 17, 85, 64, 29437, 9659, 21]",85,64,29437,26.19
"[5, 17, 85, 64, 29443, 19782, 43]",85,64,29443,7.14
"[5, 17, 85, 64, 29453, 2301, 5]",85,64,29453,26.19
"[5, 17, 85, 64, 29473, 15197, 33]",85,64,29473,97.62
"[5, 17, 85, 64, 29483, 1382, 3]",85,64,29483,7.14
"[5, 17, 85, 64, 29501, 9680, 21]",85,64,29501,26.19
"[5, 17, 85, 64, 29527, 17993, 39]",85,64,29527,7.14
"[5, 17, 85, 64, 29531, 8767, 19]",85,64,29531,7.14
"[5, 17, 85, 64, 29537, 15230, 33]",85,64,29537,97.62
"[5, 17, 85, 64, 29567, 29105, 63]",85,64,29567,7.14
"[5, 17, 85, 64, 29569, 462, 1]",85,64,29569,97.62
"[5, 17, 85, 64, 29573, 6007, 13]",85,64,29573,26.19
"[5, 17, 85, 64, 29581, 2311, 5]",85,64,29581,26.19
"[5, 17, 85, 64, 29587, 12482, 27]",85,64,29587,7.14
"[5, 17, 85, 64, 29599, 14337, 31]",85,64,29599,7.14
"[5, 17, 85, 64, 29611, 1388, 3]",85,64,29611,7.14
"[5, 17, 85, 64, 29629, 9722, 21]",85,64,29629,26.19
"[5, 17, 85, 64, 29633, 463, 1]",85,64,29633,97.62
"[5, 17, 85, 64, 29641, 26399, 57]",85,64,29641,50.0
"[5, 17, 85, 64, 29663, 14368, 31]",85,64,29663,7.14
"[5, 17, 85, 64, 29669, 20861, 45]",85,64,29669,26.19
"[5, 17, 85, 64, 29671, 10663, 23]",85,64,29671,7.14
"[5, 17, 85, 64, 29683, 27364, 59]",85,64,29683,7.14
"[5, 17, 85, 64, 29717, 28324, 61]",85,64,29717,26.19
"[5, 17, 85, 64, 29723, 8824, 19]",85,64,29723,7.14
"[5, 17, 85, 64, 29741, 17194, 37]",85,64,29741,26.19
"[5, 17, 85, 64, 29753, 4184, 9]",85,64,29753,50.0
"[5, 17, 85, 64, 29759, 29294, 63]",85,64,29759,7.14
"[5, 17, 85, 64, 29761, 465, 1]",85,64,29761,97.62
"[5, 17, 85, 64, 29789, 24669, 53]",85,64,29789,26.19
"[5, 17, 85, 64, 29803, 1397, 3]",85,64,29803,7.14
"[5, 17, 85, 64, 29819, 23762, 51]",85,64,29819,7.14
"[5, 17, 85, 64, 29833, 26570, 57]",85,64,29833,50.0
"[5, 17, 85, 64, 29837, 2331, 5]",85,64,29837,26.19
"[5, 17, 85, 64, 29851, 8862, 19]",85,64,29851,7.14
"[5, 17, 85, 64, 29863, 10732, 23]",85,64,29863,7.14
"[5, 17, 85, 64, 29867, 1400, 3]",85,64,29867,7.14
"[5, 17, 85, 64, 29873, 7935, 17]",85,64,29873,97.62
"[5, 17, 85, 64, 29879, 3268, 7]",85,64,29879,7.14
"[5, 17, 85, 64, 29881, 4202, 9]",85,64,29881,50.0
"[5, 17, 85, 64, 29917, 24775, 53]",85,64,29917,26.19
"[5, 17, 85, 64, 29921, 15428, 33]",85,64,29921,97.62
"[5, 17, 85, 64, 29927, 10755, 23]",85,64,29927,7.14
"[5, 17, 85, 64, 29947, 23864, 51]",85,64,29947,7.14
"[5, 17, 85, 64, 29959, 25746, 55]",85,64,29959,7.14
"[5, 17, 85, 64, 29983, 14523, 31]",85,64,29983,7.14
"[5, 17, 85, 64, 29989, 21086, 45]",85,64,29989,26.19
"[5, 17, 85, 64, 30011, 23915, 51]",85,64,30011,7.14
"[5, 17, 85, 64, 30013, 9848, 21]",85,64,30013,26.19
"[5, 17, 85, 64, 30029, 2346, 5]",85,64,30029,26.19
"[5, 17, 85, 64, 30047, 14554, 31]",85,64,30047,7.14
"[5, 17, 85, 64, 30059, 1409, 3]",85,64,30059,7.14
"[5, 17, 85, 64, 30071, 3289, 7]",85,64,30071,7.14
"[5, 17, 85, 64, 30089, 26798, 57]",85,64,30089,50.0
"[5, 17, 85, 64, 30091, 16456, 35]",85,64,30091,7.14
"[5, 17, 85, 64, 30097, 23043, 49]",85,64,30097,97.62
"[5, 17, 85, 64, 30103, 18344, 39]",85,64,30103,7.14
"[5, 17, 85, 64, 30109, 24934, 53]",85,64,30109,26.19
"[5, 17, 85, 64, 30113, 15527, 33]",85,64,30113,97.62
"[5, 17, 85, 64, 30119, 10824, 23]",85,64,30119,7.14
"[5, 17, 85, 64, 30133, 13654, 29]",85,64,30133,26.19
"[5, 17, 85, 64, 30137, 4238, 9]",85,64,30137,50.0
"[5, 17, 85, 64, 30139, 24017, 51]",85,64,30139,7.14
"[5, 17, 85, 64, 30161, 23092, 49]",85,64,30161,97.62
"[5, 17, 85, 64, 30169, 19327, 41]",85,64,30169,50.0
"[5, 17, 85, 64, 30181, 21221, 45]",85,64,30181,26.19
"[5, 17, 85, 64, 30187, 1415, 3]",85,64,30187,7.14
"[5, 17, 85, 64, 30197, 13683, 29]",85,64,30197,26.19
"[5, 17, 85, 64, 30203, 24068, 51]",85,64,30203,7.14
"[5, 17, 85, 64, 30211, 20298, 43]",85,64,30211,7.14
"[5, 17, 85, 64, 30223, 22195, 47]",85,64,30223,7.14
"[5, 17, 85, 64, 30241, 15593, 33]",85,64,30241,97.62
"[5, 17, 85, 64, 30253, 17490, 37]",85,64,30253,26.19
"[5, 17, 85, 64, 30259, 27895, 59]",85,64,30259,7.14
"[5, 17, 85, 64, 30269, 9932, 21]",85,64,30269,26.19
"[5, 17, 85, 64, 30271, 29798, 63]",85,64,30271,7.14
"[5, 17, 85, 64, 30293, 28873, 61]",85,64,30293,26.19
"[5, 17, 85, 64, 30307, 5209, 11]",85,64,30307,7.14
"[5, 17, 85, 64, 30313, 11841, 25]",85,64,30313,50.0
"[5, 17, 85, 64, 30319, 7106, 15]",85,64,30319,7.14
"[5, 17, 85, 64, 30323, 27954, 59]",85,64,30323,7.14
"[5, 17, 85, 64, 30341, 6163, 13]",85,64,30341,26.19
"[5, 17, 85, 64, 30347, 16596, 35]",85,64,30347,7.14
"[5, 17, 85, 64, 30367, 14709, 31]",85,64,30367,7.14
"[5, 17, 85, 64, 30389, 13770, 29]",85,64,30389,26.19
"[5, 17, 85, 64, 30391, 3324, 7]",85,64,30391,7.14
"[5, 17, 85, 64, 30403, 20427, 43]",85,64,30403,7.14
"[5, 17, 85, 64, 30427, 9033, 19]",85,64,30427,7.14
"[5, 17, 85, 64, 30431, 14740, 31]",85,64,30431,7.14
"[5, 17, 85, 64, 30449, 8088, 17]",85,64,30449,97.62
"[5, 17, 85, 64, 30467, 20470, 43]",85,64,30467,7.14
"[5, 17, 85, 64, 30469, 6189, 13]",85,64,30469,26.19
"[5, 17, 85, 64, 30491, 9052, 19]",85,64,30491,7.14
"[5, 17, 85, 64, 30493, 25252, 53]",85,64,30493,26.19
"[5, 17, 85, 64, 30497, 15725, 33]",85,64,30497,97.62
"[5, 17, 85, 64, 30509, 17638, 37]",85,64,30509,26.19
"[5, 17, 85, 64, 30517, 13828, 29]",85,64,30517,26.19
"[5, 17, 85, 64, 30529, 477, 1]",85,64,30529,97.62
"[5, 17, 85, 64, 30539, 16701, 35]",85,64,30539,7.14
"[5, 17, 85, 64, 30553, 19573, 41]",85,64,30553,50.0
"[5, 17, 85, 64, 30557, 25305, 53]",85,64,30557,26.19
"[5, 17, 85, 64, 30559, 14802, 31]",85,64,30559,7.14
"[5, 17, 85, 64, 30577, 8122, 17]",85,64,30577,97.62
"[5, 17, 85, 64, 30593, 478, 1]",85,64,30593,97.62
"[5, 17, 85, 64, 30631, 11008, 23]",85,64,30631,7.14
"[5, 17, 85, 64, 30637, 17712, 37]",85,64,30637,26.19
"[5, 17, 85, 64, 30643, 28249, 59]",85,64,30643,7.14
"[5, 17, 85, 64, 30649, 4310, 9]",85,64,30649,50.0
"[5, 17, 85, 64, 30661, 6228, 13]",85,64,30661,26.19
"[5, 17, 85, 64, 30671, 22524, 47]",85,64,30671,7.14
"[5, 17, 85, 64, 30677, 29239, 61]",85,64,30677,26.19
"[5, 17, 85, 64, 30689, 15824, 33]",85,64,30689,97.62
"[5, 17, 85, 64, 30697, 11991, 25]",85,64,30697,50.0
"[5, 17, 85, 64, 30703, 7196, 15]",85,64,30703,7.14
"[5, 17, 85, 64, 30707, 28308, 59]",85,64,30707,7.14
"[5, 17, 85, 64, 30713, 4319, 9]",85,64,30713,50.0
"[5, 17, 85, 64, 30727, 26406, 55]",85,64,30727,7.14
"[5, 17, 85, 64, 30757, 21626, 45]",85,64,30757,26.19
"[5, 17, 85, 64, 30763, 1442, 3]",85,64,30763,7.14
"[5, 17, 85, 64, 30773, 13944, 29]",85,64,30773,26.19
"[5, 17, 85, 64, 30781, 10100, 21]",85,64,30781,26.19
"[5, 17, 85, 64, 30803, 12995, 27]",85,64,30803,7.14
"[5, 17, 85, 64, 30809, 19737, 41]",85,64,30809,50.0
"[5, 17, 85, 64, 30817, 15890, 33]",85,64,30817,97.62
"[5, 17, 85, 64, 30829, 17823, 37]",85,64,30829,26.19
"[5, 17, 85, 64, 30839, 3373, 7]",85,64,30839,7.14
"[5, 17, 85, 64, 30841, 4337, 9]",85,64,30841,50.0
"[5, 17, 85, 64, 30851, 20728, 43]",85,64,30851,7.14
"[5, 17, 85, 64, 30853, 6267, 13]",85,64,30853,26.19
"[5, 17, 85, 64, 30859, 16876, 35]",85,64,30859,7.14
"[5, 17, 85, 64, 30869, 29422, 61]",85,64,30869,26.19
"[5, 17, 85, 64, 30871, 18812, 39]",85,64,30871,7.14
"[5, 17, 85, 64, 30881, 15923, 33]",85,64,30881,97.62
"[5, 17, 85, 64, 30893, 17860, 37]",85,64,30893,26.19
"[5, 17, 85, 64, 30911, 30428, 63]",85,64,30911,7.14
"[5, 17, 85, 64, 30931, 13049, 27]",85,64,30931,7.14
"[5, 17, 85, 64, 30937, 19819, 41]",85,64,30937,50.0
"[5, 17, 85, 64, 30941, 25623, 53]",85,64,30941,26.19
"[5, 17, 85, 64, 30949, 21761, 45]",85,64,30949,26.19
"[5, 17, 85, 64, 30971, 24680, 51]",85,64,30971,7.14
"[5, 17, 85, 64, 30977, 484, 1]",85,64,30977,97.62
"[5, 17, 85, 64, 30983, 26626, 55]",85,64,30983,7.14
"[5, 17, 85, 64, 31013, 21806, 45]",85,64,31013,26.19
"[5, 17, 85, 64, 31019, 1454, 3]",85,64,31019,7.14
"[5, 17, 85, 64, 31033, 4364, 9]",85,64,31033,50.0
"[5, 17, 85, 64, 31039, 30554, 63]",85,64,31039,7.14
"[5, 17, 85, 64, 31051, 16981, 35]",85,64,31051,7.14
"[5, 17, 85, 64, 31063, 18929, 39]",85,64,31063,7.14
"[5, 17, 85, 64, 31069, 25729, 53]",85,64,31069,26.19
"[5, 17, 85, 64, 31079, 11169, 23]",85,64,31079,7.14
"[5, 17, 85, 64, 31081, 12141, 25]",85,64,31081,50.0
"[5, 17, 85, 64, 31091, 28662, 59]",85,64,31091,7.14
"[5, 17, 85, 64, 31121, 23827, 49]",85,64,31121,97.62
"[5, 17, 85, 64, 31123, 13130, 27]",85,64,31123,7.14
"[5, 17, 85, 64, 31139, 5352, 11]",85,64,31139,7.14
"[5, 17, 85, 64, 31147, 1460, 3]",85,64,31147,7.14
"[5, 17, 85, 64, 31151, 7301, 15]",85,64,31151,7.14
"[5, 17, 85, 64, 31153, 8275, 17]",85,64,31153,97.62
"[5, 17, 85, 64, 31159, 3408, 7]",85,64,31159,7.14
"[5, 17, 85, 64, 31177, 27767, 57]",85,64,31177,50.0
"[5, 17, 85, 64, 31181, 2436, 5]",85,64,31181,26.19
"[5, 17, 85, 64, 31183, 22900, 47]",85,64,31183,7.14
"[5, 17, 85, 64, 31189, 29727, 61]",85,64,31189,26.19
"[5, 17, 85, 64, 31193, 19983, 41]",85,64,31193,50.0
"[5, 17, 85, 64, 31219, 28780, 59]",85,64,31219,7.14
"[5, 17, 85, 64, 31223, 3415, 7]",85,64,31223,7.14
"[5, 17, 85, 64, 31231, 30743, 63]",85,64,31231,7.14
"[5, 17, 85, 64, 31237, 6345, 13]",85,64,31237,26.19
"[5, 17, 85, 64, 31247, 22947, 47]",85,64,31247,7.14
"[5, 17, 85, 64, 31249, 23925, 49]",85,64,31249,97.62
"[5, 17, 85, 64, 31253, 29788, 61]",85,64,31253,26.19
"[5, 17, 85, 64, 31259, 9280, 19]",85,64,31259,7.14
"[5, 17, 85, 64, 31267, 5374, 11]",85,64,31267,7.14
"[5, 17, 85, 64, 31271, 11238, 23]",85,64,31271,7.14
"[5, 17, 85, 64, 31277, 18082, 37]",85,64,31277,26.19
"[5, 17, 85, 64, 31307, 17121, 35]",85,64,31307,7.14
"[5, 17, 85, 64, 31319, 19085, 39]",85,64,31319,7.14
"[5, 17, 85, 64, 31321, 20065, 41]",85,64,31321,50.0
"[5, 17, 85, 64, 31327, 15174, 31]",85,64,31327,7.14
"[5, 17, 85, 64, 31333, 22031, 45]",85,64,31333,26.19
"[5, 17, 85, 64, 31337, 12241, 25]",85,64,31337,50.0
"[5, 17, 85, 64, 31357, 10289, 21]",85,64,31357,26.19
"[5, 17, 85, 64, 31379, 13238, 27]",85,64,31379,7.14
"[5, 17, 85, 64, 31387, 9318, 19]",85,64,31387,7.14
"[5, 17, 85, 64, 31391, 15205, 31]",85,64,31391,7.14
"[5, 17, 85, 64, 31393, 16187, 33]",85,64,31393,97.62
"[5, 17, 85, 64, 31397, 22076, 45]",85,64,31397,26.19
"[5, 17, 85, 64, 31469, 18193, 37]",85,64,31469,26.19
"[5, 17, 85, 64, 31477, 14263, 29]",85,64,31477,26.19
"[5, 17, 85, 64, 31481, 4427, 9]",85,64,31481,50.0
"[5, 17, 85, 64, 31489, 492, 1]",85,64,31489,97.62
"[5, 17, 85, 64, 31511, 19202, 39]",85,64,31511,7.14
"[5, 17, 85, 64, 31513, 20188, 41]",85,64,31513,50.0
"[5, 17, 85, 64, 31517, 26100, 53]",85,64,31517,26.19
"[5, 17, 85, 64, 31531, 1478, 3]",85,64,31531,7.14
"[5, 17, 85, 64, 31541, 14292, 29]",85,64,31541,26.19
"[5, 17, 85, 64, 31543, 3450, 7]",85,64,31543,7.14
"[5, 17, 85, 64, 31547, 25139, 51]",85,64,31547,7.14
"[5, 17, 85, 64, 31567, 23182, 47]",85,64,31567,7.14
"[5, 17, 85, 64, 31573, 30093, 61]",85,64,31573,26.19
"[5, 17, 85, 64, 31583, 15298, 31]",85,64,31583,7.14
"[5, 17, 85, 64, 31601, 8394, 17]",85,64,31601,97.62
"[5, 17, 85, 64, 31607, 3457, 7]",85,64,31607,7.14
"[5, 17, 85, 64, 31627, 17296, 35]",85,64,31627,7.14
"[5, 17, 85, 64, 31643, 9394, 19]",85,64,31643,7.14
"[5, 17, 85, 64, 31649, 16319, 33]",85,64,31649,97.62
"[5, 17, 85, 64, 31657, 12366, 25]",85,64,31657,50.0
"[5, 17, 85, 64, 31663, 7421, 15]",85,64,31663,7.14
"[5, 17, 85, 64, 31667, 29193, 59]",85,64,31667,7.14
"[5, 17, 85, 64, 31687, 27231, 55]",85,64,31687,7.14
"[5, 17, 85, 64, 31699, 13373, 27]",85,64,31699,7.14
"[5, 17, 85, 64, 31721, 12391, 25]",85,64,31721,50.0
"[5, 17, 85, 64, 31723, 1487, 3]",85,64,31723,7.14
"[5, 17, 85, 64, 31727, 7436, 15]",85,64,31727,7.14
"[5, 17, 85, 64, 31729, 8428, 17]",85,64,31729,97.62
"[5, 17, 85, 64, 31741, 10415, 21]",85,64,31741,26.19
"[5, 17, 85, 64, 31751, 27286, 55]",85,64,31751,7.14
"[5, 17, 85, 64, 31769, 20352, 41]",85,64,31769,50.0
"[5, 17, 85, 64, 31771, 9432, 19]",85,64,31771,7.14
"[5, 17, 85, 64, 31793, 8445, 17]",85,64,31793,97.62
"[5, 17, 85, 64, 31799, 3478, 7]",85,64,31799,7.14
"[5, 17, 85, 64, 31817, 28337, 57]",85,64,31817,50.0
"[5, 17, 85, 64, 31847, 11445, 23]",85,64,31847,7.14
"[5, 17, 85, 64, 31849, 12441, 25]",85,64,31849,50.0
"[5, 17, 85, 64, 31859, 29370, 59]",85,64,31859,7.14
"[5, 17, 85, 64, 31873, 498, 1]",85,64,31873,97.62
"[5, 17, 85, 64, 31883, 17436, 35]",85,64,31883,7.14
"[5, 17, 85, 64, 31891, 13454, 27]",85,64,31891,7.14
"[5, 17, 85, 64, 31907, 5484, 11]",85,64,31907,7.14
"[5, 17, 85, 64, 31957, 30459, 61]",85,64,31957,26.19
"[5, 17, 85, 64, 31963, 9489, 19]",85,64,31963,7.14
"[5, 17, 85, 64, 31973, 22481, 45]",85,64,31973,26.19
"[5, 17, 85, 64, 31981, 18489, 37]",85,64,31981,26.19
"[5, 17, 85, 64, 31991, 3499, 7]",85,64,31991,7.14
"[5, 17, 85, 64, 32003, 21502, 43]",85,64,32003,7.14
"[5, 17, 85, 64, 32009, 28508, 57]",85,64,32009,50.0
"[5, 17, 85, 64, 32027, 9508, 19]",85,64,32027,7.14
"[5, 17, 85, 64, 32029, 26524, 53]",85,64,32029,26.19
"[5, 17, 85, 64, 32051, 29547, 59]",85,64,32051,7.14
"[5, 17, 85, 64, 32057, 4508, 9]",85,64,32057,50.0
"[5, 17, 85, 64, 32059, 25547, 51]",85,64,32059,7.14
"[5, 17, 85, 64, 32063, 31562, 63]",85,64,32063,7.14
"[5, 17, 85, 64, 32069, 6514, 13]",85,64,32069,26.19
"[5, 17, 85, 64, 32077, 2506, 5]",85,64,32077,26.19
"[5, 17, 85, 64, 32083, 13535, 27]",85,64,32083,7.14
"[5, 17, 85, 64, 32089, 20557, 41]",85,64,32089,50.0
"[5, 17, 85, 64, 32099, 5517, 11]",85,64,32099,7.14
"[5, 17, 85, 64, 32117, 14553, 29]",85,64,32117,26.19
"[5, 17, 85, 64, 32119, 3513, 7]",85,64,32119,7.14
"[5, 17, 85, 64, 32141, 2511, 5]",85,64,32141,26.19
"[5, 17, 85, 64, 32143, 23605, 47]",85,64,32143,7.14
"[5, 17, 85, 64, 32159, 15577, 31]",85,64,32159,7.14
"[5, 17, 85, 64, 32173, 18600, 37]",85,64,32173,26.19
"[5, 17, 85, 64, 32183, 3520, 7]",85,64,32183,7.14
"[5, 17, 85, 64, 32189, 10562, 21]",85,64,32189,26.19
"[5, 17, 85, 64, 32191, 31688, 63]",85,64,32191,7.14
"[5, 17, 85, 64, 32203, 17611, 35]",85,64,32203,7.14
