"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[5, 17, 85, 64, 1097, 977, 57]",85,64,1097,50.0
"[5, 17, 85, 64, 1103, 810, 47]",85,64,1103,7.14
"[5, 17, 85, 64, 1109, 1057, 61]",85,64,1109,26.19
"[5, 17, 85, 64, 1117, 925, 53]",85,64,1117,26.19
"[5, 17, 85, 64, 1123, 193, 11]",85,64,1123,7.14
"[5, 17, 85, 64, 1129, 441, 25]",85,64,1129,50.0
"[5, 17, 85, 64, 1151, 1133, 63]",85,64,1151,7.14
"[5, 17, 85, 64, 1153, 18, 1]",85,64,1153,97.62
"[5, 17, 85, 64, 1163, 636, 35]",85,64,1163,7.14
"[5, 17, 85, 64, 1171, 494, 27]",85,64,1171,7.14
"[5, 17, 85, 64, 1181, 978, 53]",85,64,1181,26.19
"[5, 17, 85, 64, 1187, 204, 11]",85,64,1187,7.14
"[5, 17, 85, 64, 1193, 466, 25]",85,64,1193,50.0
"[5, 17, 85, 64, 1201, 319, 17]",85,64,1201,97.62
"[5, 17, 85, 64, 1213, 398, 21]",85,64,1213,26.19
"[5, 17, 85, 64, 1217, 19, 1]",85,64,1217,97.62
"[5, 17, 85, 64, 1223, 1051, 55]",85,64,1223,7.14
"[5, 17, 85, 64, 1229, 96, 5]",85,64,1229,26.19
"[5, 17, 85, 64, 1231, 904, 47]",85,64,1231,7.14
"[5, 17, 85, 64, 1237, 1179, 61]",85,64,1237,26.19
"[5, 17, 85, 64, 1249, 644, 33]",85,64,1249,97.62
"[5, 17, 85, 64, 1259, 59, 3]",85,64,1259,7.14
"[5, 17, 85, 64, 1277, 419, 21]",85,64,1277,26.19
"[5, 17, 85, 64, 1279, 1259, 63]",85,64,1279,7.14
"[5, 17, 85, 64, 1283, 862, 43]",85,64,1283,7.14
"[5, 17, 85, 64, 1289, 1148, 57]",85,64,1289,50.0
"[5, 17, 85, 64, 1291, 706, 35]",85,64,1291,7.14
"[5, 17, 85, 64, 1297, 993, 49]",85,64,1297,97.62
"[5, 17, 85, 64, 1301, 1240, 61]",85,64,1301,26.19
"[5, 17, 85, 64, 1303, 794, 39]",85,64,1303,7.14
"[5, 17, 85, 64, 1307, 388, 19]",85,64,1307,7.14
"[5, 17, 85, 64, 1319, 474, 23]",85,64,1319,7.14
"[5, 17, 85, 64, 1321, 516, 25]",85,64,1321,50.0
"[5, 17, 85, 64, 1327, 311, 15]",85,64,1327,7.14
"[5, 17, 85, 64, 1361, 1042, 49]",85,64,1361,97.62
"[5, 17, 85, 64, 1367, 833, 39]",85,64,1367,7.14
"[5, 17, 85, 64, 1373, 1137, 53]",85,64,1373,26.19
"[5, 17, 85, 64, 1381, 971, 45]",85,64,1381,26.19
"[5, 17, 85, 64, 1399, 153, 7]",85,64,1399,7.14
"[5, 17, 85, 64, 1409, 22, 1]",85,64,1409,97.62
"[5, 17, 85, 64, 1423, 1045, 47]",85,64,1423,7.14
"[5, 17, 85, 64, 1427, 602, 27]",85,64,1427,7.14
"[5, 17, 85, 64, 1429, 1362, 61]",85,64,1429,26.19
"[5, 17, 85, 64, 1433, 918, 41]",85,64,1433,50.0
"[5, 17, 85, 64, 1439, 697, 31]",85,64,1439,7.14
"[5, 17, 85, 64, 1447, 520, 23]",85,64,1447,7.14
"[5, 17, 85, 64, 1451, 68, 3]",85,64,1451,7.14
"[5, 17, 85, 64, 1453, 840, 37]",85,64,1453,26.19
"[5, 17, 85, 64, 1459, 1345, 59]",85,64,1459,7.14
"[5, 17, 85, 64, 1471, 1448, 63]",85,64,1471,7.14
"[5, 17, 85, 64, 1481, 1319, 57]",85,64,1481,50.0
"[5, 17, 85, 64, 1483, 811, 35]",85,64,1483,7.14
"[5, 17, 85, 64, 1487, 1092, 47]",85,64,1487,7.14
"[5, 17, 85, 64, 1489, 1140, 49]",85,64,1489,97.62
"[5, 17, 85, 64, 1493, 1423, 61]",85,64,1493,26.19
"[5, 17, 85, 64, 1499, 445, 19]",85,64,1499,7.14
"[5, 17, 85, 64, 1511, 543, 23]",85,64,1511,7.14
"[5, 17, 85, 64, 1523, 1404, 59]",85,64,1523,7.14
"[5, 17, 85, 64, 1531, 1220, 51]",85,64,1531,7.14
"[5, 17, 85, 64, 1543, 1326, 55]",85,64,1543,7.14
"[5, 17, 85, 64, 1549, 121, 5]",85,64,1549,26.19
"[5, 17, 85, 64, 1553, 1189, 49]",85,64,1553,97.62
"[5, 17, 85, 64, 1559, 950, 39]",85,64,1559,7.14
"[5, 17, 85, 64, 1567, 759, 31]",85,64,1567,7.14
"[5, 17, 85, 64, 1571, 270, 11]",85,64,1571,7.14
"[5, 17, 85, 64, 1579, 74, 3]",85,64,1579,7.14
"[5, 17, 85, 64, 1583, 371, 15]",85,64,1583,7.14
"[5, 17, 85, 64, 1597, 524, 21]",85,64,1597,26.19
"[5, 17, 85, 64, 1601, 25, 1]",85,64,1601,97.62
"[5, 17, 85, 64, 1607, 1381, 55]",85,64,1607,7.14
"[5, 17, 85, 64, 1609, 1433, 57]",85,64,1609,50.0
"[5, 17, 85, 64, 1613, 126, 5]",85,64,1613,26.19
"[5, 17, 85, 64, 1619, 683, 27]",85,64,1619,7.14
"[5, 17, 85, 64, 1621, 1545, 61]",85,64,1621,26.19
"[5, 17, 85, 64, 1627, 483, 19]",85,64,1627,7.14
"[5, 17, 85, 64, 1637, 1151, 45]",85,64,1637,26.19
"[5, 17, 85, 64, 1657, 233, 9]",85,64,1657,50.0
"[5, 17, 85, 64, 1663, 1637, 63]",85,64,1663,7.14
"[5, 17, 85, 64, 1667, 1120, 43]",85,64,1667,7.14
"[5, 17, 85, 64, 1669, 339, 13]",85,64,1669,26.19
"[5, 17, 85, 64, 1693, 1402, 53]",85,64,1693,26.19
"[5, 17, 85, 64, 1697, 875, 33]",85,64,1697,97.62
"[5, 17, 85, 64, 1699, 292, 11]",85,64,1699,7.14
"[5, 17, 85, 64, 1709, 988, 37]",85,64,1709,26.19
"[5, 17, 85, 64, 1721, 242, 9]",85,64,1721,50.0
"[5, 17, 85, 64, 1723, 1373, 51]",85,64,1723,7.14
"[5, 17, 85, 64, 1733, 352, 13]",85,64,1733,26.19
"[5, 17, 85, 64, 1741, 136, 5]",85,64,1741,26.19
"[5, 17, 85, 64, 1747, 737, 27]",85,64,1747,7.14
"[5, 17, 85, 64, 1753, 1123, 41]",85,64,1753,50.0
"[5, 17, 85, 64, 1759, 852, 31]",85,64,1759,7.14
"[5, 17, 85, 64, 1777, 472, 17]",85,64,1777,97.62
"[5, 17, 85, 64, 1783, 195, 7]",85,64,1783,7.14
"[5, 17, 85, 64, 1787, 1424, 51]",85,64,1787,7.14
"[5, 17, 85, 64, 1789, 587, 21]",85,64,1789,26.19
"[5, 17, 85, 64, 1801, 1604, 57]",85,64,1801,50.0
"[5, 17, 85, 64, 1811, 764, 27]",85,64,1811,7.14
"[5, 17, 85, 64, 1823, 883, 31]",85,64,1823,7.14
"[5, 17, 85, 64, 1831, 658, 23]",85,64,1831,7.14
"[5, 17, 85, 64, 1847, 202, 7]",85,64,1847,7.14
"[5, 17, 85, 64, 1861, 378, 13]",85,64,1861,26.19
"[5, 17, 85, 64, 1867, 1021, 35]",85,64,1867,7.14
"[5, 17, 85, 64, 1871, 1374, 47]",85,64,1871,7.14
"[5, 17, 85, 64, 1873, 1434, 49]",85,64,1873,97.62
"[5, 17, 85, 64, 1877, 1789, 61]",85,64,1877,26.19
"[5, 17, 85, 64, 1879, 1145, 39]",85,64,1879,7.14
"[5, 17, 85, 64, 1889, 974, 33]",85,64,1889,97.62
"[5, 17, 85, 64, 1901, 1099, 37]",85,64,1901,26.19
"[5, 17, 85, 64, 1907, 1758, 59]",85,64,1907,7.14
"[5, 17, 85, 64, 1913, 269, 9]",85,64,1913,50.0
"[5, 17, 85, 64, 1931, 1056, 35]",85,64,1931,7.14
"[5, 17, 85, 64, 1933, 151, 5]",85,64,1933,26.19
"[5, 17, 85, 64, 1949, 1614, 53]",85,64,1949,26.19
"[5, 17, 85, 64, 1951, 945, 31]",85,64,1951,7.14
"[5, 17, 85, 64, 1973, 894, 29]",85,64,1973,26.19
"[5, 17, 85, 64, 1979, 1577, 51]",85,64,1979,7.14
"[5, 17, 85, 64, 1987, 1335, 43]",85,64,1987,7.14
"[5, 17, 85, 64, 1993, 1775, 57]",85,64,1993,50.0
"[5, 17, 85, 64, 1997, 156, 5]",85,64,1997,26.19
"[5, 17, 85, 64, 1999, 1468, 47]",85,64,1999,7.14
"[5, 17, 85, 64, 2003, 845, 27]",85,64,2003,7.14
"[5, 17, 85, 64, 2011, 597, 19]",85,64,2011,7.14
"[5, 17, 85, 64, 2017, 1040, 33]",85,64,2017,97.62
"[5, 17, 85, 64, 2027, 95, 3]",85,64,2027,7.14
"[5, 17, 85, 64, 2029, 1173, 37]",85,64,2029,26.19
"[5, 17, 85, 64, 2039, 223, 7]",85,64,2039,7.14
"[5, 17, 85, 64, 2053, 417, 13]",85,64,2053,26.19
"[5, 17, 85, 64, 2063, 1515, 47]",85,64,2063,7.14
"[5, 17, 85, 64, 2069, 1972, 61]",85,64,2069,26.19
"[5, 17, 85, 64, 2081, 1073, 33]",85,64,2081,97.62
