"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage 
"[3, 17, 51, 32, 12953, 3643, 9]",51,32,12953,48.0
"[3, 17, 51, 32, 12959, 12554, 31]",51,32,12959,12.0
"[3, 17, 51, 32, 12967, 9320, 23]",51,32,12967,12.0
"[3, 17, 51, 32, 12973, 2027, 5]",51,32,12973,24.0
"[3, 17, 51, 32, 12979, 10951, 27]",51,32,12979,12.0
"[3, 17, 51, 32, 12983, 2840, 7]",51,32,12983,12.0
"[3, 17, 51, 32, 13001, 10157, 25]",51,32,13001,48.0
"[3, 17, 51, 32, 13003, 1219, 3]",51,32,13003,12.0
"[3, 17, 51, 32, 13007, 6097, 15]",51,32,13007,12.0
"[3, 17, 51, 32, 13009, 6911, 17]",51,32,13009,96.0
"[3, 17, 51, 32, 13033, 10182, 25]",51,32,13033,48.0
"[3, 17, 51, 32, 13037, 2037, 5]",51,32,13037,24.0
"[3, 17, 51, 32, 13043, 11005, 27]",51,32,13043,12.0
"[3, 17, 51, 32, 13049, 3670, 9]",51,32,13049,48.0
"[3, 17, 51, 32, 13063, 9389, 23]",51,32,13063,12.0
"[3, 17, 51, 32, 13093, 5319, 13]",51,32,13093,24.0
"[3, 17, 51, 32, 13099, 1228, 3]",51,32,13099,12.0
"[3, 17, 51, 32, 13103, 6142, 15]",51,32,13103,12.0
"[3, 17, 51, 32, 13109, 11880, 29]",51,32,13109,24.0
"[3, 17, 51, 32, 13121, 410, 1]",51,32,13121,96.0
"[3, 17, 51, 32, 13127, 9435, 23]",51,32,13127,12.0
"[3, 17, 51, 32, 13147, 7806, 19]",51,32,13147,12.0
"[3, 17, 51, 32, 13151, 12740, 31]",51,32,13151,12.0
"[3, 17, 51, 32, 13159, 9458, 23]",51,32,13159,12.0
"[3, 17, 51, 32, 13163, 1234, 3]",51,32,13163,12.0
"[3, 17, 51, 32, 13171, 11113, 27]",51,32,13171,12.0
"[3, 17, 51, 32, 13177, 3706, 9]",51,32,13177,48.0
"[3, 17, 51, 32, 13183, 12771, 31]",51,32,13183,12.0
"[3, 17, 51, 32, 13187, 4533, 11]",51,32,13187,12.0
"[3, 17, 51, 32, 13217, 413, 1]",51,32,13217,96.0
"[3, 17, 51, 32, 13219, 4544, 11]",51,32,13219,12.0
"[3, 17, 51, 32, 13229, 2067, 5]",51,32,13229,24.0
"[3, 17, 51, 32, 13241, 3724, 9]",51,32,13241,48.0
"[3, 17, 51, 32, 13249, 414, 1]",51,32,13249,96.0
"[3, 17, 51, 32, 13259, 1243, 3]",51,32,13259,12.0
"[3, 17, 51, 32, 13267, 11194, 27]",51,32,13267,12.0
"[3, 17, 51, 32, 13291, 1246, 3]",51,32,13291,12.0
"[3, 17, 51, 32, 13297, 7064, 17]",51,32,13297,96.0
"[3, 17, 51, 32, 13309, 8734, 21]",51,32,13309,24.0
"[3, 17, 51, 32, 13313, 416, 1]",51,32,13313,96.0
"[3, 17, 51, 32, 13327, 6247, 15]",51,32,13327,12.0
"[3, 17, 51, 32, 13331, 11248, 27]",51,32,13331,12.0
"[3, 17, 51, 32, 13337, 3751, 9]",51,32,13337,48.0
"[3, 17, 51, 32, 13339, 7920, 19]",51,32,13339,12.0
"[3, 17, 51, 32, 13367, 2924, 7]",51,32,13367,12.0
"[3, 17, 51, 32, 13381, 5436, 13]",51,32,13381,24.0
"[3, 17, 51, 32, 13397, 12141, 29]",51,32,13397,24.0
"[3, 17, 51, 32, 13399, 2931, 7]",51,32,13399,12.0
"[3, 17, 51, 32, 13411, 4610, 11]",51,32,13411,12.0
"[3, 17, 51, 32, 13417, 10482, 25]",51,32,13417,48.0
"[3, 17, 51, 32, 13421, 2097, 5]",51,32,13421,24.0
"[3, 17, 51, 32, 13441, 420, 1]",51,32,13441,96.0
"[3, 17, 51, 32, 13451, 1261, 3]",51,32,13451,12.0
"[3, 17, 51, 32, 13457, 7149, 17]",51,32,13457,96.0
"[3, 17, 51, 32, 13463, 2945, 7]",51,32,13463,12.0
"[3, 17, 51, 32, 13469, 8839, 21]",51,32,13469,24.0
"[3, 17, 51, 32, 13477, 5475, 13]",51,32,13477,24.0
"[3, 17, 51, 32, 13487, 6322, 15]",51,32,13487,12.0
"[3, 17, 51, 32, 13499, 8015, 19]",51,32,13499,12.0
"[3, 17, 51, 32, 13513, 10557, 25]",51,32,13513,48.0
"[3, 17, 51, 32, 13523, 11410, 27]",51,32,13523,12.0
"[3, 17, 51, 32, 13537, 423, 1]",51,32,13537,96.0
"[3, 17, 51, 32, 13553, 7200, 17]",51,32,13553,96.0
"[3, 17, 51, 32, 13567, 13143, 31]",51,32,13567,12.0
"[3, 17, 51, 32, 13577, 10607, 25]",51,32,13577,48.0
"[3, 17, 51, 32, 13591, 2973, 7]",51,32,13591,12.0
"[3, 17, 51, 32, 13597, 8923, 21]",51,32,13597,24.0
"[3, 17, 51, 32, 13613, 2127, 5]",51,32,13613,24.0
"[3, 17, 51, 32, 13619, 11491, 27]",51,32,13619,12.0
"[3, 17, 51, 32, 13627, 8091, 19]",51,32,13627,12.0
"[3, 17, 51, 32, 13633, 426, 1]",51,32,13633,96.0
"[3, 17, 51, 32, 13649, 7251, 17]",51,32,13649,96.0
"[3, 17, 51, 32, 13669, 5553, 13]",51,32,13669,24.0
"[3, 17, 51, 32, 13679, 6412, 15]",51,32,13679,12.0
"[3, 17, 51, 32, 13681, 7268, 17]",51,32,13681,96.0
"[3, 17, 51, 32, 13687, 2994, 7]",51,32,13687,12.0
"[3, 17, 51, 32, 13691, 8129, 19]",51,32,13691,12.0
"[3, 17, 51, 32, 13693, 8986, 21]",51,32,13693,24.0
"[3, 17, 51, 32, 13697, 428, 1]",51,32,13697,96.0
"[3, 17, 51, 32, 13709, 2142, 5]",51,32,13709,24.0
"[3, 17, 51, 32, 13711, 6427, 15]",51,32,13711,12.0
"[3, 17, 51, 32, 13721, 3859, 9]",51,32,13721,48.0
"[3, 17, 51, 32, 13723, 8148, 19]",51,32,13723,12.0
"[3, 17, 51, 32, 13729, 429, 1]",51,32,13729,96.0
"[3, 17, 51, 32, 13751, 3008, 7]",51,32,13751,12.0
"[3, 17, 51, 32, 13757, 9028, 21]",51,32,13757,24.0
"[3, 17, 51, 32, 13759, 13329, 31]",51,32,13759,12.0
"[3, 17, 51, 32, 13763, 4731, 11]",51,32,13763,12.0
"[3, 17, 51, 32, 13781, 12489, 29]",51,32,13781,24.0
"[3, 17, 51, 32, 13789, 9049, 21]",51,32,13789,24.0
"[3, 17, 51, 32, 13799, 9918, 23]",51,32,13799,12.0
"[3, 17, 51, 32, 13807, 6472, 15]",51,32,13807,12.0
"[3, 17, 51, 32, 13829, 5618, 13]",51,32,13829,24.0
"[3, 17, 51, 32, 13831, 9941, 23]",51,32,13831,12.0
"[3, 17, 51, 32, 13841, 7353, 17]",51,32,13841,96.0
"[3, 17, 51, 32, 13859, 4764, 11]",51,32,13859,12.0
"[3, 17, 51, 32, 13873, 7370, 17]",51,32,13873,96.0
"[3, 17, 51, 32, 13877, 12576, 29]",51,32,13877,24.0
"[3, 17, 51, 32, 13879, 3036, 7]",51,32,13879,12.0
"[3, 17, 51, 32, 13883, 8243, 19]",51,32,13883,12.0
"[3, 17, 51, 32, 13901, 2172, 5]",51,32,13901,24.0
"[3, 17, 51, 32, 13903, 6517, 15]",51,32,13903,12.0
"[3, 17, 51, 32, 13907, 11734, 27]",51,32,13907,12.0
"[3, 17, 51, 32, 13913, 3913, 9]",51,32,13913,48.0
"[3, 17, 51, 32, 13921, 435, 1]",51,32,13921,96.0
"[3, 17, 51, 32, 13931, 1306, 3]",51,32,13931,12.0
"[3, 17, 51, 32, 13933, 2177, 5]",51,32,13933,24.0
"[3, 17, 51, 32, 13963, 1309, 3]",51,32,13963,12.0
"[3, 17, 51, 32, 13967, 6547, 15]",51,32,13967,12.0
"[3, 17, 51, 32, 13997, 2187, 5]",51,32,13997,24.0
"[3, 17, 51, 32, 13999, 6562, 15]",51,32,13999,12.0
"[3, 17, 51, 32, 14009, 3940, 9]",51,32,14009,48.0
"[3, 17, 51, 32, 14011, 8319, 19]",51,32,14011,12.0
"[3, 17, 51, 32, 14029, 2192, 5]",51,32,14029,24.0
"[3, 17, 51, 32, 14033, 7455, 17]",51,32,14033,96.0
"[3, 17, 51, 32, 14051, 4830, 11]",51,32,14051,12.0
"[3, 17, 51, 32, 14057, 10982, 25]",51,32,14057,48.0
"[3, 17, 51, 32, 14071, 3078, 7]",51,32,14071,12.0
"[3, 17, 51, 32, 14081, 440, 1]",51,32,14081,96.0
"[3, 17, 51, 32, 14083, 4841, 11]",51,32,14083,12.0
"[3, 17, 51, 32, 14087, 10125, 23]",51,32,14087,12.0
"[3, 17, 51, 32, 14107, 8376, 19]",51,32,14107,12.0
"[3, 17, 51, 32, 14143, 13701, 31]",51,32,14143,12.0
"[3, 17, 51, 32, 14149, 5748, 13]",51,32,14149,24.0
"[3, 17, 51, 32, 14153, 11057, 25]",51,32,14153,48.0
"[3, 17, 51, 32, 14159, 6637, 15]",51,32,14159,12.0
"[3, 17, 51, 32, 14173, 9301, 21]",51,32,14173,24.0
"[3, 17, 51, 32, 14177, 443, 1]",51,32,14177,96.0
"[3, 17, 51, 32, 14197, 12866, 29]",51,32,14197,24.0
"[3, 17, 51, 32, 14207, 13763, 31]",51,32,14207,12.0
"[3, 17, 51, 32, 14221, 2222, 5]",51,32,14221,24.0
"[3, 17, 51, 32, 14243, 4896, 11]",51,32,14243,12.0
"[3, 17, 51, 32, 14249, 11132, 25]",51,32,14249,48.0
"[3, 17, 51, 32, 14251, 1336, 3]",51,32,14251,12.0
"[3, 17, 51, 32, 14281, 11157, 25]",51,32,14281,48.0
"[3, 17, 51, 32, 14293, 12953, 29]",51,32,14293,24.0
"[3, 17, 51, 32, 14303, 13856, 31]",51,32,14303,12.0
"[3, 17, 51, 32, 14321, 7608, 17]",51,32,14321,96.0
"[3, 17, 51, 32, 14323, 12085, 27]",51,32,14323,12.0
"[3, 17, 51, 32, 14327, 3134, 7]",51,32,14327,12.0
"[3, 17, 51, 32, 14341, 5826, 13]",51,32,14341,24.0
"[3, 17, 51, 32, 14347, 1345, 3]",51,32,14347,12.0
"[3, 17, 51, 32, 14369, 449, 1]",51,32,14369,96.0
"[3, 17, 51, 32, 14387, 12139, 27]",51,32,14387,12.0
"[3, 17, 51, 32, 14389, 13040, 29]",51,32,14389,24.0
"[3, 17, 51, 32, 14401, 450, 1]",51,32,14401,96.0
"[3, 17, 51, 32, 14407, 10355, 23]",51,32,14407,12.0
"[3, 17, 51, 32, 14411, 1351, 3]",51,32,14411,12.0
"[3, 17, 51, 32, 14419, 12166, 27]",51,32,14419,12.0
"[3, 17, 51, 32, 14423, 3155, 7]",51,32,14423,12.0
"[3, 17, 51, 32, 14431, 13980, 31]",51,32,14431,12.0
"[3, 17, 51, 32, 14437, 5865, 13]",51,32,14437,24.0
"[3, 17, 51, 32, 14447, 6772, 15]",51,32,14447,12.0
"[3, 17, 51, 32, 14449, 7676, 17]",51,32,14449,96.0
"[3, 17, 51, 32, 14461, 9490, 21]",51,32,14461,24.0
"[3, 17, 51, 32, 14479, 6787, 15]",51,32,14479,12.0
"[3, 17, 51, 32, 14489, 4075, 9]",51,32,14489,48.0
"[3, 17, 51, 32, 14503, 10424, 23]",51,32,14503,12.0
"[3, 17, 51, 32, 14519, 3176, 7]",51,32,14519,12.0
"[3, 17, 51, 32, 14533, 5904, 13]",51,32,14533,24.0
"[3, 17, 51, 32, 14537, 11357, 25]",51,32,14537,48.0
"[3, 17, 51, 32, 14543, 6817, 15]",51,32,14543,12.0
"[3, 17, 51, 32, 14549, 13185, 29]",51,32,14549,24.0
"[3, 17, 51, 32, 14551, 3183, 7]",51,32,14551,12.0
"[3, 17, 51, 32, 14557, 9553, 21]",51,32,14557,24.0
"[3, 17, 51, 32, 14561, 455, 1]",51,32,14561,96.0
"[3, 17, 51, 32, 14563, 5006, 11]",51,32,14563,12.0
"[3, 17, 51, 32, 14591, 14135, 31]",51,32,14591,12.0
"[3, 17, 51, 32, 14593, 456, 1]",51,32,14593,96.0
"[3, 17, 51, 32, 14621, 9595, 21]",51,32,14621,24.0
"[3, 17, 51, 32, 14627, 5028, 11]",51,32,14627,12.0
"[3, 17, 51, 32, 14629, 5943, 13]",51,32,14629,24.0
"[3, 17, 51, 32, 14633, 11432, 25]",51,32,14633,48.0
"[3, 17, 51, 32, 14639, 6862, 15]",51,32,14639,12.0
"[3, 17, 51, 32, 14653, 9616, 21]",51,32,14653,24.0
"[3, 17, 51, 32, 14657, 458, 1]",51,32,14657,96.0
"[3, 17, 51, 32, 14669, 2292, 5]",51,32,14669,24.0
"[3, 17, 51, 32, 14683, 8718, 19]",51,32,14683,12.0
"[3, 17, 51, 32, 14699, 1378, 3]",51,32,14699,12.0
"[3, 17, 51, 32, 14713, 4138, 9]",51,32,14713,48.0
"[3, 17, 51, 32, 14717, 9658, 21]",51,32,14717,24.0
"[3, 17, 51, 32, 14723, 5061, 11]",51,32,14723,12.0
"[3, 17, 51, 32, 14731, 1381, 3]",51,32,14731,12.0
"[3, 17, 51, 32, 14737, 7829, 17]",51,32,14737,96.0
"[3, 17, 51, 32, 14741, 13359, 29]",51,32,14741,24.0
"[3, 17, 51, 32, 14747, 8756, 19]",51,32,14747,12.0
"[3, 17, 51, 32, 14753, 461, 1]",51,32,14753,96.0
"[3, 17, 51, 32, 14759, 10608, 23]",51,32,14759,12.0
"[3, 17, 51, 32, 14767, 6922, 15]",51,32,14767,12.0
"[3, 17, 51, 32, 14771, 12463, 27]",51,32,14771,12.0
"[3, 17, 51, 32, 14779, 8775, 19]",51,32,14779,12.0
"[3, 17, 51, 32, 14783, 14321, 31]",51,32,14783,12.0
"[3, 17, 51, 32, 14797, 2312, 5]",51,32,14797,24.0
"[3, 17, 51, 32, 14813, 9721, 21]",51,32,14813,24.0
"[3, 17, 51, 32, 14821, 6021, 13]",51,32,14821,24.0
"[3, 17, 51, 32, 14827, 1390, 3]",51,32,14827,12.0
"[3, 17, 51, 32, 14831, 6952, 15]",51,32,14831,12.0
"[3, 17, 51, 32, 14843, 8813, 19]",51,32,14843,12.0
"[3, 17, 51, 32, 14851, 5105, 11]",51,32,14851,12.0
"[3, 17, 51, 32, 14867, 12544, 27]",51,32,14867,12.0
"[3, 17, 51, 32, 14869, 13475, 29]",51,32,14869,24.0
"[3, 17, 51, 32, 14879, 14414, 31]",51,32,14879,12.0
"[3, 17, 51, 32, 14887, 10700, 23]",51,32,14887,12.0
"[3, 17, 51, 32, 14891, 1396, 3]",51,32,14891,12.0
"[3, 17, 51, 32, 14897, 7914, 17]",51,32,14897,96.0
"[3, 17, 51, 32, 14923, 1399, 3]",51,32,14923,12.0
"[3, 17, 51, 32, 14929, 7931, 17]",51,32,14929,96.0
"[3, 17, 51, 32, 14939, 8870, 19]",51,32,14939,12.0
"[3, 17, 51, 32, 14947, 5138, 11]",51,32,14947,12.0
"[3, 17, 51, 32, 14951, 10746, 23]",51,32,14951,12.0
"[3, 17, 51, 32, 14957, 2337, 5]",51,32,14957,24.0
"[3, 17, 51, 32, 14969, 4210, 9]",51,32,14969,48.0
"[3, 17, 51, 32, 14983, 10769, 23]",51,32,14983,12.0
"[3, 17, 51, 32, 15013, 6099, 13]",51,32,15013,24.0
"[3, 17, 51, 32, 15017, 11732, 25]",51,32,15017,48.0
"[3, 17, 51, 32, 15031, 3288, 7]",51,32,15031,12.0
"[3, 17, 51, 32, 15053, 2352, 5]",51,32,15053,24.0
"[3, 17, 51, 32, 15061, 13649, 29]",51,32,15061,24.0
"[3, 17, 51, 32, 15073, 471, 1]",51,32,15073,96.0
"[3, 17, 51, 32, 15077, 6125, 13]",51,32,15077,24.0
"[3, 17, 51, 32, 15083, 1414, 3]",51,32,15083,12.0
"[3, 17, 51, 32, 15091, 12733, 27]",51,32,15091,12.0
"[3, 17, 51, 32, 15101, 9910, 21]",51,32,15101,24.0
"[3, 17, 51, 32, 15107, 5193, 11]",51,32,15107,12.0
"[3, 17, 51, 32, 15121, 8033, 17]",51,32,15121,96.0
"[3, 17, 51, 32, 15131, 8984, 19]",51,32,15131,12.0
"[3, 17, 51, 32, 15137, 473, 1]",51,32,15137,96.0
"[3, 17, 51, 32, 15139, 5204, 11]",51,32,15139,12.0
"[3, 17, 51, 32, 15149, 2367, 5]",51,32,15149,24.0
"[3, 17, 51, 32, 15161, 4264, 9]",51,32,15161,48.0
"[3, 17, 51, 32, 15173, 6164, 13]",51,32,15173,24.0
"[3, 17, 51, 32, 15187, 12814, 27]",51,32,15187,12.0
"[3, 17, 51, 32, 15193, 4273, 9]",51,32,15193,48.0
"[3, 17, 51, 32, 15199, 14724, 31]",51,32,15199,12.0
"[3, 17, 51, 32, 15217, 8084, 17]",51,32,15217,96.0
"[3, 17, 51, 32, 15227, 9041, 19]",51,32,15227,12.0
"[3, 17, 51, 32, 15233, 476, 1]",51,32,15233,96.0
"[3, 17, 51, 32, 15241, 11907, 25]",51,32,15241,48.0
"[3, 17, 51, 32, 15259, 9060, 19]",51,32,15259,12.0
"[3, 17, 51, 32, 15263, 14786, 31]",51,32,15263,12.0
"[3, 17, 51, 32, 15269, 6203, 13]",51,32,15269,24.0
"[3, 17, 51, 32, 15271, 10976, 23]",51,32,15271,12.0
"[3, 17, 51, 32, 15277, 2387, 5]",51,32,15277,24.0
"[3, 17, 51, 32, 15287, 3344, 7]",51,32,15287,12.0
"[3, 17, 51, 32, 15289, 4300, 9]",51,32,15289,48.0
"[3, 17, 51, 32, 15299, 5259, 11]",51,32,15299,12.0
"[3, 17, 51, 32, 15307, 1435, 3]",51,32,15307,12.0
"[3, 17, 51, 32, 15313, 8135, 17]",51,32,15313,96.0
"[3, 17, 51, 32, 15319, 3351, 7]",51,32,15319,12.0
"[3, 17, 51, 32, 15329, 479, 1]",51,32,15329,96.0
"[3, 17, 51, 32, 15331, 5270, 11]",51,32,15331,12.0
"[3, 17, 51, 32, 15349, 13910, 29]",51,32,15349,24.0
"[3, 17, 51, 32, 15359, 14879, 31]",51,32,15359,12.0
"[3, 17, 51, 32, 15361, 480, 1]",51,32,15361,96.0
"[3, 17, 51, 32, 15373, 2402, 5]",51,32,15373,24.0
"[3, 17, 51, 32, 15377, 8169, 17]",51,32,15377,96.0
"[3, 17, 51, 32, 15383, 3365, 7]",51,32,15383,12.0
"[3, 17, 51, 32, 15391, 14910, 31]",51,32,15391,12.0
"[3, 17, 51, 32, 15401, 12032, 25]",51,32,15401,48.0
"[3, 17, 51, 32, 15413, 13968, 29]",51,32,15413,24.0
"[3, 17, 51, 32, 15427, 5303, 11]",51,32,15427,12.0
"[3, 17, 51, 32, 15439, 7237, 15]",51,32,15439,12.0
"[3, 17, 51, 32, 15443, 13030, 27]",51,32,15443,12.0
"[3, 17, 51, 32, 15451, 9174, 19]",51,32,15451,12.0
"[3, 17, 51, 32, 15461, 6281, 13]",51,32,15461,24.0
"[3, 17, 51, 32, 15467, 1450, 3]",51,32,15467,12.0
"[3, 17, 51, 32, 15473, 8220, 17]",51,32,15473,96.0
"[3, 17, 51, 32, 15493, 6294, 13]",51,32,15493,24.0
"[3, 17, 51, 32, 15497, 12107, 25]",51,32,15497,48.0
"[3, 17, 51, 32, 15511, 3393, 7]",51,32,15511,12.0
"[3, 17, 51, 32, 15527, 11160, 23]",51,32,15527,12.0
"[3, 17, 51, 32, 15541, 14084, 29]",51,32,15541,24.0
"[3, 17, 51, 32, 15551, 15065, 31]",51,32,15551,12.0
"[3, 17, 51, 32, 15559, 11183, 23]",51,32,15559,12.0
"[3, 17, 51, 32, 15569, 8271, 17]",51,32,15569,96.0
"[3, 17, 51, 32, 15581, 10225, 21]",51,32,15581,24.0
"[3, 17, 51, 32, 15583, 15096, 31]",51,32,15583,12.0
"[3, 17, 51, 32, 15601, 8288, 17]",51,32,15601,96.0
"[3, 17, 51, 32, 15607, 3414, 7]",51,32,15607,12.0
"[3, 17, 51, 32, 15619, 5369, 11]",51,32,15619,12.0
"[3, 17, 51, 32, 15629, 2442, 5]",51,32,15629,24.0
"[3, 17, 51, 32, 15641, 4399, 9]",51,32,15641,48.0
"[3, 17, 51, 32, 15643, 9288, 19]",51,32,15643,12.0
"[3, 17, 51, 32, 15647, 15158, 31]",51,32,15647,12.0
"[3, 17, 51, 32, 15649, 489, 1]",51,32,15649,96.0
"[3, 17, 51, 32, 15661, 2447, 5]",51,32,15661,24.0
"[3, 17, 51, 32, 15667, 13219, 27]",51,32,15667,12.0
"[3, 17, 51, 32, 15671, 3428, 7]",51,32,15671,12.0
"[3, 17, 51, 32, 15679, 15189, 31]",51,32,15679,12.0
"[3, 17, 51, 32, 15683, 5391, 11]",51,32,15683,12.0
"[3, 17, 51, 32, 15727, 7372, 15]",51,32,15727,12.0
"[3, 17, 51, 32, 15731, 13273, 27]",51,32,15731,12.0
"[3, 17, 51, 32, 15733, 14258, 29]",51,32,15733,24.0
"[3, 17, 51, 32, 15737, 4426, 9]",51,32,15737,48.0
"[3, 17, 51, 32, 15739, 9345, 19]",51,32,15739,12.0
"[3, 17, 51, 32, 15749, 6398, 13]",51,32,15749,24.0
"[3, 17, 51, 32, 15761, 8373, 17]",51,32,15761,96.0
"[3, 17, 51, 32, 15767, 3449, 7]",51,32,15767,12.0
"[3, 17, 51, 32, 15773, 10351, 21]",51,32,15773,24.0
"[3, 17, 51, 32, 15787, 1480, 3]",51,32,15787,12.0
"[3, 17, 51, 32, 15791, 7402, 15]",51,32,15791,12.0
"[3, 17, 51, 32, 15797, 14316, 29]",51,32,15797,24.0
"[3, 17, 51, 32, 15803, 9383, 19]",51,32,15803,12.0
"[3, 17, 51, 32, 15809, 494, 1]",51,32,15809,96.0
"[3, 17, 51, 32, 15817, 12357, 25]",51,32,15817,48.0
"[3, 17, 51, 32, 15823, 7417, 15]",51,32,15823,12.0
"[3, 17, 51, 32, 15859, 13381, 27]",51,32,15859,12.0
"[3, 17, 51, 32, 15877, 6450, 13]",51,32,15877,24.0
"[3, 17, 51, 32, 15881, 12407, 25]",51,32,15881,48.0
"[3, 17, 51, 32, 15887, 7447, 15]",51,32,15887,12.0
"[3, 17, 51, 32, 15889, 8441, 17]",51,32,15889,96.0
"[3, 17, 51, 32, 15901, 10435, 21]",51,32,15901,24.0
"[3, 17, 51, 32, 15907, 5468, 11]",51,32,15907,12.0
"[3, 17, 51, 32, 15913, 12432, 25]",51,32,15913,48.0
"[3, 17, 51, 32, 15919, 7462, 15]",51,32,15919,12.0
"[3, 17, 51, 32, 15923, 13435, 27]",51,32,15923,12.0
"[3, 17, 51, 32, 15937, 498, 1]",51,32,15937,96.0
"[3, 17, 51, 32, 15959, 3491, 7]",51,32,15959,12.0
"[3, 17, 51, 32, 15971, 5490, 11]",51,32,15971,12.0
"[3, 17, 51, 32, 15973, 6489, 13]",51,32,15973,24.0
"[3, 17, 51, 32, 15991, 3498, 7]",51,32,15991,12.0
"[3, 17, 51, 32, 16001, 500, 1]",51,32,16001,96.0
"[3, 17, 51, 32, 16007, 11505, 23]",51,32,16007,12.0
"[3, 17, 51, 32, 16033, 501, 1]",51,32,16033,96.0
"[3, 17, 51, 32, 16057, 4516, 9]",51,32,16057,48.0
"[3, 17, 51, 32, 16061, 10540, 21]",51,32,16061,24.0
"[3, 17, 51, 32, 16063, 15561, 31]",51,32,16063,12.0
"[3, 17, 51, 32, 16067, 5523, 11]",51,32,16067,12.0
"[3, 17, 51, 32, 16069, 6528, 13]",51,32,16069,24.0
"[3, 17, 51, 32, 16073, 12557, 25]",51,32,16073,48.0
"[3, 17, 51, 32, 16087, 3519, 7]",51,32,16087,12.0
"[3, 17, 51, 32, 16091, 9554, 19]",51,32,16091,12.0
"[3, 17, 51, 32, 16097, 503, 1]",51,32,16097,96.0
"[3, 17, 51, 32, 16103, 11574, 23]",51,32,16103,12.0
"[3, 17, 51, 32, 16111, 7552, 15]",51,32,16111,12.0
"[3, 17, 51, 32, 16127, 15623, 31]",51,32,16127,12.0
"[3, 17, 51, 32, 16139, 1513, 3]",51,32,16139,12.0
"[3, 17, 51, 32, 16141, 2522, 5]",51,32,16141,24.0
"[3, 17, 51, 32, 16183, 3540, 7]",51,32,16183,12.0
"[3, 17, 51, 32, 16187, 9611, 19]",51,32,16187,12.0
"[3, 17, 51, 32, 16189, 10624, 21]",51,32,16189,24.0
"[3, 17, 51, 32, 16193, 506, 1]",51,32,16193,96.0
"[3, 17, 51, 32, 16217, 4561, 9]",51,32,16217,48.0
"[3, 17, 51, 32, 16223, 15716, 31]",51,32,16223,12.0
"[3, 17, 51, 32, 16229, 6593, 13]",51,32,16229,24.0
"[3, 17, 51, 32, 16231, 11666, 23]",51,32,16231,12.0
"[3, 17, 51, 32, 16249, 4570, 9]",51,32,16249,48.0
"[3, 17, 51, 32, 16253, 10666, 21]",51,32,16253,24.0
"[3, 17, 51, 32, 16267, 1525, 3]",51,32,16267,12.0
"[3, 17, 51, 32, 16273, 8645, 17]",51,32,16273,96.0
"[3, 17, 51, 32, 16301, 2547, 5]",51,32,16301,24.0
"[3, 17, 51, 32, 16319, 15809, 31]",51,32,16319,12.0
"[3, 17, 51, 32, 16333, 2552, 5]",51,32,16333,24.0
"[3, 17, 51, 32, 16339, 13786, 27]",51,32,16339,12.0
"[3, 17, 51, 32, 16349, 10729, 21]",51,32,16349,24.0
"[3, 17, 51, 32, 16361, 12782, 25]",51,32,16361,48.0
"[3, 17, 51, 32, 16363, 1534, 3]",51,32,16363,12.0
"[3, 17, 51, 32, 16369, 8696, 17]",51,32,16369,96.0
"[3, 17, 51, 32, 16381, 10750, 21]",51,32,16381,24.0
"[3, 17, 51, 32, 16411, 9744, 19]",51,32,16411,12.0
"[3, 17, 51, 32, 16417, 513, 1]",51,32,16417,96.0
"[3, 17, 51, 32, 16421, 6671, 13]",51,32,16421,24.0
"[3, 17, 51, 32, 16427, 1540, 3]",51,32,16427,12.0
"[3, 17, 51, 32, 16433, 8730, 17]",51,32,16433,96.0
"[3, 17, 51, 32, 16447, 15933, 31]",51,32,16447,12.0
"[3, 17, 51, 32, 16451, 5655, 11]",51,32,16451,12.0
"[3, 17, 51, 32, 16453, 6684, 13]",51,32,16453,24.0
"[3, 17, 51, 32, 16477, 10813, 21]",51,32,16477,24.0
"[3, 17, 51, 32, 16481, 515, 1]",51,32,16481,96.0
"[3, 17, 51, 32, 16487, 11850, 23]",51,32,16487,12.0
"[3, 17, 51, 32, 16493, 2577, 5]",51,32,16493,24.0
"[3, 17, 51, 32, 16519, 11873, 23]",51,32,16519,12.0
"[3, 17, 51, 32, 16529, 8781, 17]",51,32,16529,96.0
"[3, 17, 51, 32, 16547, 5688, 11]",51,32,16547,12.0
"[3, 17, 51, 32, 16553, 12932, 25]",51,32,16553,48.0
"[3, 17, 51, 32, 16561, 8798, 17]",51,32,16561,96.0
"[3, 17, 51, 32, 16567, 3624, 7]",51,32,16567,12.0
"[3, 17, 51, 32, 16573, 10876, 21]",51,32,16573,24.0
"[3, 17, 51, 32, 16603, 9858, 19]",51,32,16603,12.0
"[3, 17, 51, 32, 16607, 16088, 31]",51,32,16607,12.0
"[3, 17, 51, 32, 16619, 1558, 3]",51,32,16619,12.0
"[3, 17, 51, 32, 16631, 3638, 7]",51,32,16631,12.0
"[3, 17, 51, 32, 16633, 4678, 9]",51,32,16633,48.0
"[3, 17, 51, 32, 16649, 13007, 25]",51,32,16649,48.0
"[3, 17, 51, 32, 16651, 1561, 3]",51,32,16651,12.0
"[3, 17, 51, 32, 16657, 8849, 17]",51,32,16657,96.0
"[3, 17, 51, 32, 16661, 15099, 29]",51,32,16661,24.0
"[3, 17, 51, 32, 16673, 521, 1]",51,32,16673,96.0
